"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"ENSG00000290825.1",1,2,0,3,2,2,2,0,4,0,2,2,0,0,0,0,1,1,5,4,4,4,4,5,3,0,0,0,1,0
"ENSG00000223972.6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
"ENSG00000227232.6",207,261,185,162,179,234,828,604,583,293,331,306,271,266,281,344,259,222,306,277,300,346,369,345,313,244,294,301,289,337
"ENSG00000278267.1",0,2,1,0,0,4,20,9,12,9,1,8,3,3,0,1,4,3,8,5,7,5,10,2,2,2,3,1,4,1
"ENSG00000243485.5",0,0,0,0,0,0,7,5,5,0,0,0,0,0,2,2,0,0,4,0,2,3,2,3,0,2,2,2,0,1
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,2,4,0,0,0,0,0,0,0,3,4,2,1,0,1
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290826.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.7",9,9,9,33,14,23,0,14,16,6,0,6,14,11,6,6,7,7,3,4,1,2,1,3,4,11,2,8,7,8
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,4,0,2,3,0,2,2,2,0,0,0,0,0,2,2,2,4,3,0,0,0,0,0,0,4,0
"ENSG00000268903.1",8,11,9,2,4,6,19,14,24,4,11,10,1,5,0,1,0,3,12,12,8,19,14,9,10,11,6,10,6,2
"ENSG00000269981.1",1,0,5,2,2,5,11,10,18,3,8,2,3,3,0,4,3,3,10,3,6,7,8,6,2,6,0,3,1,11
"ENSG00000239906.1",2,0,0,1,0,0,0,1,2,1,0,2,0,0,0,2,0,0,0,0,1,0,3,0,0,2,1,0,0,0
"ENSG00000241860.7",15,11,6,7,9,8,2,13,11,12,5,0,17,12,11,16,12,9,10,8,7,7,16,11,15,19,13,30,18,13
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",3,1,0,3,1,3,6,3,3,4,0,0,3,0,1,1,3,0,1,8,11,13,6,4,2,1,2,3,0,1
"ENSG00000279457.4",229,246,188,157,192,208,828,568,579,341,368,302,250,272,219,250,221,200,329,291,276,286,354,360,296,275,328,286,322,328
"ENSG00000273874.1",0,2,1,1,0,1,15,7,5,4,3,4,0,1,0,0,0,0,2,4,3,4,3,4,8,0,3,1,4,1
"ENSG00000292994.1",26,12,16,17,35,19,9,15,23,32,27,34,11,13,12,14,10,15,10,12,6,17,20,9,13,17,23,22,21,20
"ENSG00000228463.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286448.1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679.2",12,4,12,9,4,13,11,14,13,11,19,11,15,12,21,24,10,13,13,14,8,19,20,15,8,6,10,12,14,12
"ENSG00000236601.2",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290385.1",11,7,18,17,13,20,23,67,72,32,18,44,23,13,16,16,24,15,30,38,29,18,46,48,30,22,26,20,38,32
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000237094.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",5,15,12,11,16,14,68,43,53,31,23,21,13,1,9,10,13,8,24,25,22,25,39,37,13,10,12,18,22,17
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000293331.1",6,15,7,10,4,7,25,42,36,26,24,21,21,26,22,14,16,12,11,15,13,21,14,16,19,11,19,19,19,14
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",2685,2965,2263,1878,2019,2253,3624,2561,2512,1956,1747,2394,2967,3303,2600,3236,2308,2724,1745,1447,1688,1882,2085,2307,2844,2400,2948,2930,3193,3140
"ENSG00000225630.1",18233,10872,15241,12090,13561,15385,10773,21367,19351,20601,16093,19600,21088,23006,17417,19326,15614,16097,18818,13447,15863,18930,19795,20694,19719,16513,19240,19823,20770,18882
"ENSG00000237973.1",46021,39874,36343,30584,33323,39038,55867,61248,68207,44464,35483,45750,55869,60771,42258,51550,36547,41498,42322,29691,34405,38565,45521,47466,60304,52244,61532,62857,67136,66255
"ENSG00000278791.1",5,3,4,6,1,3,8,6,9,8,6,9,6,10,5,6,5,11,3,2,2,8,12,2,4,5,5,5,3,8
"ENSG00000229344.1",6195,7476,4875,3995,4407,4967,14359,10933,11212,8425,7732,9055,6739,6982,6133,6875,5233,5245,6616,5443,6768,6860,7256,7890,7559,6425,7203,7607,8153,7634
"ENSG00000240409.1",517,436,393,386,371,403,520,576,682,406,393,502,287,345,229,287,241,276,291,231,289,282,363,396,482,440,505,507,511,482
"ENSG00000248527.1",21603,21741,18183,14686,16426,18826,34162,32812,32220,21066,15629,20537,13696,15228,11681,13487,9874,10545,15078,10621,12134,14561,15466,15993,19657,16997,19669,21003,22068,20931
"ENSG00000198744.5",4183,3973,3552,2669,3151,3511,9186,8975,8936,5791,4931,5944,4494,4798,3749,4245,3277,3379,3477,2700,3055,3564,3721,3892,4433,3872,4765,4780,4757,4937
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000230021.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000229376.3",1,0,1,0,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,3,0,2,2,4,2,2,2
"ENSG00000291215.1",88,53,91,47,66,76,195,225,267,88,95,82,34,71,66,72,38,68,184,134,109,143,150,149,102,90,89,125,139,135
"ENSG00000223181.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491.10",29,14,26,31,47,64,46,102,82,44,42,43,40,27,13,29,31,20,46,32,43,30,44,42,31,27,32,32,38,31
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290784.1",4,0,1,0,3,3,4,2,2,5,1,4,0,1,3,0,2,2,3,2,1,1,2,8,0,0,2,0,2,1
"ENSG00000230092.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757.2",9,9,11,16,15,43,4,25,10,12,8,6,13,6,12,8,8,10,2,2,0,0,3,2,6,13,3,17,10,2
"ENSG00000225880.6",51,33,22,18,18,44,63,104,103,80,83,51,26,23,22,32,49,16,187,136,125,141,184,152,43,38,47,56,54,66
"ENSG00000228794.12",350,287,302,337,362,399,320,666,640,558,560,570,180,202,241,257,225,198,483,457,454,484,552,527,365,300,399,396,315,374
