"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"ENSG00000290825.1",0.0241926213443815,0.0531301969351111,0,0.101882183358602,0.0646503136717188,0.0556832349581436,0.0571770362878499,0,0.0930237755010104,0,0.0492658012937879,0.0524540373791674,0,0,0,0,0.0250685907766304,0.0262328271458008,0.119481757441374,0.105631005222501,0.101181874412173,0.0870710834047,0.087352816801282,0.109278859074624,0.0691305687070052,0,0,0,0.0205707822282352,0
"ENSG00000223972.6",0,0,0,0,0,0,0,0,0.0609732579134392,0,0,0,0,0,0,0,0,0,0,0.0692367783440208,0,0,0.114512355569402,0.0573022371793204,0,0,0,0,0,0
"ENSG00000227232.6",6.01307603514603,8.32521310866162,6.82949380409901,6.60595217576883,6.94763658912058,7.82264715804372,28.4227047386902,15.5377010632154,16.2796831288073,8.75343259660172,9.79009646311594,9.63637681913325,8.94552600023965,7.88306113481825,8.49483665387429,8.74281171358091,7.79602291555872,6.99264521513869,8.78003902269406,8.78323722030265,9.11186771200929,9.04343617386764,9.67579616580765,9.05375347433263,8.66037374028258,7.44426740593465,7.35780399594587,7.64994844392221,7.13825521592877,8.7561187602001
"ENSG00000278267.1",0,1.29465788708058,0.749181355298619,0,0,2.71373883310717,13.9326984013187,4.69853543058859,6.80031158846357,5.45661678627753,0.600245828998578,5.11272587866355,2.00968513354635,1.80428312130404,0,0.515778050818299,2.44345028922803,1.91769681973199,4.65838287247897,3.21747381716332,4.31473735774558,2.65214678679389,5.32145652351927,1.06514746756854,1.12303286615204,1.23831834862462,1.52367489711964,0.51577725486675,2.00504624424622,0.527292890952877
"ENSG00000243485.5",0,0,0,0,0,0,0.324777886338282,0.173849390183929,0.188712531837872,0,0,0,0,0,0.081720695169041,0.0687030508435737,0,0,0.155127343451797,0,0.0821049784040014,0.10598196758197,0.0708832602545173,0.10641042281292,0,0.0824737000063408,0.0676525582789002,0.0687029448206445,0,0.0351184295639526
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0.0338209772552066,0,0,0.149476170720429,0.0335496998218964,0,0.0575437365966273,0.136304035822401,0,0,0,0,0,0,0,0.0939699362982015,0.13815528745935,0.0566638736692019,0.0287718238974069,0,0.0294142055658701
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290826.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
