SMAPLE.ID,Cell,Treatment,DETAILS,Sample,Group,CompareGroup
MTOP 1,BT 241,DMSO,BT_241_DMSO,S1,Control,Compare1
MTOP 2,BT 241,DMSO,BT_241_DMSO,S2,Control,Compare1
MTOP 3,BT 241,DMSO,BT_241_DMSO,S3,Control,Compare1
MTOP 4,BT 241,Drug Treatment,BT_241_Drug_Treatment,S4,Case,Compare1
MTOP 5,BT 241,Drug Treatment,BT_241_Drug_Treatment,S5,Case,Compare1
MTOP 6,BT 241,Drug Treatment,BT_241_Drug_Treatment,S6,Case,Compare1
MTOP 7,BT 972,AAVS1,BT_972_AAVS1,S7,Control,Compare2
MTOP 8,BT 972,AAVS1,BT_972_AAVS1,S8,Control,Compare2
MTOP 9,BT 972,AAVS1,BT_972_AAVS1,S9,Control,Compare2
MTOP 10,BT 972,HTT 2-1 (KO),BT_972_HTT_2-1_(KO),S10,Case,Compare2
MTOP 11,BT 972,HTT 2-1 (KO),BT_972_HTT_2-1_(KO),S11,Case,Compare2
MTOP 12,BT 972,HTT 2-1 (KO),BT_972_HTT_2-1_(KO),S12,Case,Compare2
MTOP 13,BT 241,AAVS1,BT_241_AAVS1,S13,Control,Compare3
MTOP 14,BT 241,AAVS1,BT_241_AAVS1,S14,Control,Compare3
MTOP 15,BT 241,AAVS1,BT_241_AAVS1,S15,Control,Compare3
MTOP 16,BT 241,HTT 4-1 (KO),BT_241_HTT_4-1_(KO),S16,Case,Compare3
MTOP 17,BT 241,HTT 4-1 (KO),BT_241_HTT_4-1_(KO),S17,Case,Compare3
MTOP 18,BT 241,HTT 4-1 (KO),BT_241_HTT_4-1_(KO),S18,Case,Compare3
MTOP 19,BT 935,AAVS1,BT_935_AAVS1,S19,Control,Compare4
MTOP 20,BT 935,AAVS1,BT_935_AAVS1,S20,Control,Compare4
MTOP 21,BT 935,AAVS1,BT_935_AAVS1,S21,Control,Compare4
MTOP 22,BT 935,HTT 4-1 (KO),BT_935_HTT_4-1_(KO),S22,Case,Compare4
MTOP 23,BT 935,HTT 4-1 (KO),BT_935_HTT_4-1_(KO),S23,Case,Compare4
MTOP 24,BT 935,HTT 4-1 (KO),BT_935_HTT_4-1_(KO),S24,Case,Compare4
SS1,NA,ROBO1 KO,ROBO1_KO,S25,Case,Compare5
SS2,NA,ROBO1 KO,ROBO1_KO,S26,Case,Compare5
SS3,NA,ROBO1 KO,ROBO1_KO,S27,Case,Compare5
SS4,NA,AAVS1,AAVS1,S28,Control,Compare5
SS5,NA,AAVS1,AAVS1,S29,Control,Compare5
SS6,NA,AAVS1,AAVS1,S30,Control,Compare5
