"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected"
"ENSG00000170540.15",14055.2247795862,0.434302937321301,0.0181514788082861,23.9265870240304,1.61998610002044e-126,3.07262763590878e-122,"Stable","Sig",3.07262763590878e-122
"ENSG00000075426.12",12568.7314869774,0.412775956411177,0.0216403176200342,19.0743945471963,4.12167976484173e-81,3.90879500498765e-77,"Stable","Sig",3.90879500498765e-77
"ENSG00000175899.15",5775.11455366279,0.63795560392355,0.0347244155764056,18.3719608619425,2.20306803562146e-75,1.39285304772108e-71,"Stable","Sig",1.39285304772108e-71
"ENSG00000136802.12",4795.68701785185,0.677991067431864,0.0435510458310744,15.5677333229069,1.20605945777081e-54,5.71883243388474e-51,"Stable","Sig",5.71883243388474e-51
"ENSG00000099783.13",2463.82871257058,-0.553589750854927,0.0375609299241963,-14.7384463582812,3.65087339706504e-49,1.38492231444265e-45,"Stable","Sig",1.38492231444265e-45
"ENSG00000074181.9",6968.00595947742,0.68196505883025,0.0469737274298496,14.5180103037106,9.31757222765566e-48,2.94543987403242e-44,"Stable","Sig",2.94543987403242e-44
"ENSG00000196924.19",47362.5629114826,0.245318887916183,0.0175483694120155,13.9795830687386,2.07701205128924e-44,5.62781251097186e-41,"Stable","Sig",5.62781251097186e-41
"ENSG00000265972.6",6733.95304237149,0.471781168397892,0.0339618626282214,13.8914986366459,7.13271491357017e-44,1.65909561038668e-40,"Stable","Sig",1.65909561038668e-40
"ENSG00000140545.16",6175.36380980041,0.40840470306986,0.0294145844508114,13.8844287857548,7.87254731559032e-44,1.65909561038668e-40,"Stable","Sig",1.65909561038668e-40
"ENSG00000133048.13",20373.7993426165,0.457421175832231,0.0333117737918691,13.7315166310321,6.57427638716252e-43,1.24694300235312e-39,"Stable","Sig",1.24694300235312e-39
"ENSG00000160145.16",3386.95277196718,0.498585909431307,0.0364316916111378,13.6854998322087,1.23951861132826e-42,2.13726813646028e-39,"Stable","Sig",2.13726813646028e-39
"ENSG00000059804.17",3321.42011750912,0.615184408550498,0.0455262709499505,13.5127344215564,1.31543256327058e-41,2.07915078562943e-38,"Stable","Sig",2.07915078562943e-38
"ENSG00000128567.17",2665.75043517542,0.656343994922592,0.0511773703572828,12.8248870612241,1.18959788716529e-37,1.73562331737415e-34,"Stable","Sig",1.73562331737415e-34
"ENSG00000127418.15",9892.95942615056,0.279719913045439,0.0220888671051753,12.6633888335496,9.43373495781376e-37,1.27806893532038e-33,"Stable","Sig",1.27806893532038e-33
"ENSG00000142949.17",8464.98772900805,0.432256690355291,0.0344967049167111,12.5303762025658,5.09205594433232e-36,6.43873500641008e-33,"Stable","Sig",6.43873500641008e-33
"ENSG00000185585.20",3444.82126556366,0.924863252665463,0.0755015832590174,12.2495875284179,1.68852513037703e-34,1.95391680078875e-31,"Stable","Sig",1.95391680078875e-31
"ENSG00000147650.12",2341.51387505179,0.435123601073037,0.0355300756002056,12.2466275042353,1.75128305021399e-34,1.95391680078875e-31,"Stable","Sig",1.95391680078875e-31
"ENSG00000161638.11",10505.3234056134,0.518886832282876,0.043509685018178,11.9257777220425,8.68689597886954e-33,9.1535753350677e-30,"Stable","Sig",9.1535753350677e-30
"ENSG00000158292.7",18329.9756959931,0.316862557151668,0.0267207037719445,11.8583163024456,1.94853978634257e-32,1.94515548039787e-29,"Stable","Sig",1.94515548039787e-29
"ENSG00000167106.12",3370.75837695476,0.530717516030157,0.0456439664440435,11.6273312197962,2.99309425236956e-31,2.83850093423468e-28,"Stable","Sig",2.83850093423468e-28
"ENSG00000196526.11",2986.01644114276,0.387197046644456,0.0334176822481332,11.5865919057293,4.81929189259327e-31,4.35273853937222e-28,"Stable","Sig",4.35273853937222e-28
"ENSG00000128595.17",13556.7306649729,0.447417715131575,0.038657849037815,11.5737871161407,5.59570163949773e-31,4.82425786347061e-28,"Stable","Sig",4.82425786347061e-28
"ENSG00000101224.18",11167.3801271104,0.274793796712928,0.023787815726855,11.5518717594026,7.2229990872436e-31,5.95646189946736e-28,"Stable","Sig",5.95646189946736e-28
"ENSG00000100242.16",7859.30000185259,0.403512740831718,0.0353896854528138,11.4019872081015,4.08682437814997e-30,3.22978324918211e-27,"Stable","Sig",3.22978324918211e-27
"ENSG00000091409.16",11156.353761928,0.281642875103585,0.0247430231321745,11.3827188213453,5.09850178085161e-30,3.8681313310965e-27,"Stable","Sig",3.8681313310965e-27
"ENSG00000072682.20",4771.77119772158,0.343032331063071,0.0301910947194261,11.3620368605697,6.46201585161962e-30,4.71404056375651e-27,"Stable","Sig",4.71404056375651e-27
"ENSG00000128340.16",1473.53891168763,0.659482053019093,0.0582402859729062,11.3234686609521,1.00418384839737e-29,7.05420557501961e-27,"Stable","Sig",7.05420557501961e-27
"ENSG00000130821.17",8114.40597865881,0.390653033851391,0.0348187983725319,11.2196012530855,3.26740356569698e-29,2.21331583680624e-26,"Stable","Sig",2.21331583680624e-26
"ENSG00000072274.14",10454.5921864928,0.272582300138156,0.0245991546373873,11.08096209631,1.5519584224596e-28,1.01503432409625e-25,"Stable","Sig",1.01503432409625e-25
"ENSG00000063015.21",450.475514484132,1.11149508411817,0.100433850699686,11.0669368581887,1.81498836495143e-28,1.14749614393446e-25,"Up","Sig",1.14749614393446e-25
"ENSG00000115414.21",14929.0570169327,0.724580107623136,0.0662857527821929,10.9311590682845,8.17968798422939e-28,5.0046497418348e-25,"Stable","Sig",5.0046497418348e-25
"ENSG00000134363.12",3272.46917124245,-0.492032380994141,0.0452389398259528,-10.8763022052933,1.49505518612427e-27,8.86147241100593e-25,"Stable","Sig",8.86147241100593e-25
