"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000180198.17",9476.3811287337,3.08353146596928,0.101829417890997,30.2813423648364,2.01848104086009e-201,4.44550264439027e-197,"Up","Sig",4.44550264439027e-197,"RCC1","RCC1"
"ENSG00000115415.21",5070.95740842314,-2.90881593384426,0.12357112983646,-23.5396078169224,1.60406470597317e-122,1.76639605421765e-118,"Down","Sig",1.76639605421765e-118,"STAT1","STAT1"
"ENSG00000279443.1",542.597569442236,4.64975670407095,0.203231806512087,22.8790797261078,7.50680978046736e-116,5.51099928683377e-112,"Up","Sig",5.51099928683377e-112,NA,"ENSG00000279443.1"
"ENSG00000228716.7",2021.39182585096,-3.04413509900511,0.134641823534816,-22.6091345102583,3.52380611910023e-113,1.94020764917659e-109,"Down","Sig",1.94020764917659e-109,"DHFR","DHFR"
"ENSG00000197043.15",1312.7740965965,-2.60367338412945,0.118493815410584,-21.9730740807666,5.21189208517081e-107,2.29573422567604e-103,"Down","Sig",2.29573422567604e-103,"ANXA6","ANXA6"
"ENSG00000128656.15",1390.48004103718,-2.48127335756913,0.11422526307995,-21.7226320225887,1.25385719174701e-104,4.60249179850603e-101,"Down","Sig",4.60249179850603e-101,"CHN1","CHN1"
"ENSG00000088930.8",1805.78691424281,-2.57495448962458,0.125115724226113,-20.5805825410965,4.09727993941247e-94,1.12798116732025e-90,"Down","Sig",1.12798116732025e-90,"XRN2","XRN2"
"ENSG00000112146.17",630.007985908502,-3.21304028387545,0.15609468029652,-20.5839191814347,3.82472435114018e-94,1.12798116732025e-90,"Down","Sig",1.12798116732025e-90,"FBXO9","FBXO9"
"ENSG00000138814.17",1328.51181809319,-3.32300074755371,0.164274816660548,-20.2283028835774,5.51692944725455e-91,1.35005393495927e-87,"Down","Sig",1.35005393495927e-87,"PPP3CA","PPP3CA"
"ENSG00000180957.19",1452.52640014633,-2.9169632114105,0.145900762628603,-19.9927893374742,6.36370755409245e-89,1.40154295171332e-85,"Down","Sig",1.40154295171332e-85,"PITPNB","PITPNB"
"ENSG00000160223.18",495.778352524048,-3.60674247527868,0.181410143178766,-19.8817023793675,5.86110536593208e-88,1.17349985981171e-84,"Down","Sig",1.17349985981171e-84,"ICOSLG","ICOSLG"
"ENSG00000124299.16",505.716353612931,-3.6019682218062,0.182650662182359,-19.7205319639629,1.43709083109997e-86,2.63754070534548e-83,"Down","Sig",2.63754070534548e-83,"PEPD","PEPD"
"ENSG00000137710.17",1097.43505189207,-2.9598194644957,0.152122543393052,-19.4568102693903,2.55180783337193e-84,4.32315505555257e-81,"Down","Sig",4.32315505555257e-81,"RDX","RDX"
"ENSG00000102401.20",559.445003537652,-2.98533078332833,0.153664606153484,-19.4275757967746,4.5117275589041e-84,7.09759198266456e-81,"Down","Sig",7.09759198266456e-81,"ARMCX3","ARMCX3"
"ENSG00000167325.15",2686.91421803242,-1.91501768774497,0.100455433590688,-19.0633559509368,5.09026628462621e-81,7.47386831017385e-78,"Down","Sig",7.47386831017385e-78,"RRM1","RRM1"
"ENSG00000173530.6",674.007059743577,2.66086875165952,0.141656510899942,18.7839495322528,1.02188479784812e-78,1.40662442423794e-75,"Up","Sig",1.40662442423794e-75,"TNFRSF10D","TNFRSF10D"
"ENSG00000144320.14",1106.50340988876,-2.48588833088462,0.133250760670851,-18.6557158726105,1.13472230088918e-77,1.47006611498725e-74,"Down","Sig",1.47006611498725e-74,"LNPK","LNPK"
"ENSG00000168385.18",3190.27824876282,-2.05910437879078,0.111000556963797,-18.5503968188409,8.09521695477258e-77,9.90494767843951e-74,"Down","Sig",9.90494767843951e-74,"SEPTIN2","SEPTIN2"
"ENSG00000214973.3",768.596414653575,-2.43550287603918,0.132615775329953,-18.3651067904972,2.49957609610031e-75,2.89740336529017e-72,"Down","Sig",2.89740336529017e-72,NA,"ENSG00000214973.3"
"ENSG00000172020.13",2387.50560540915,-2.73495352803669,0.149760958635518,-18.2621262106962,1.6571065671562e-74,1.82480575175241e-71,"Down","Sig",1.82480575175241e-71,"GAP43","GAP43"
"ENSG00000172974.11",2290.88817884951,-2.19004153852178,0.121475197559792,-18.0287135358954,1.15958304396345e-72,1.21612652191672e-69,"Down","Sig",1.21612652191672e-69,NA,"ENSG00000172974.11"
