"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000104419.17",7527.59743388164,1.37036151452102,0.0312654168180775,43.8299454792068,0,0,"Up","Sig",0,"NDRG1","NDRG1"
"ENSG00000113657.13",17448.3127756489,-1.36735200641076,0.0224854649323984,-60.8104840403186,0,0,"Down","Sig",0,"DPYSL3","DPYSL3"
"ENSG00000132432.14",5086.04127044631,-1.57033916112923,0.0427405970110808,-36.7411611195348,1.60916235984998e-295,1.32782714060288e-291,"Down","Sig",1.32782714060288e-291,"SEC61G","SEC61G"
"ENSG00000110076.21",2269.82357106596,-2.06552431676348,0.0614025741816886,-33.6390508751579,4.50807587362056e-248,2.78993545628692e-244,"Down","Sig",2.78993545628692e-244,"NRXN2","NRXN2"
"ENSG00000130287.14",39406.042731119,-0.811953048482153,0.0243063629985135,-33.4049585506399,1.16153796462424e-244,5.75077446285459e-241,"Stable","Sig",5.75077446285459e-241,"NCAN","NCAN"
"ENSG00000152413.15",2068.82399548897,1.39416832315425,0.0418321883212215,33.3276450289594,1.53593471921988e-243,6.33701066238134e-240,"Up","Sig",6.33701066238134e-240,"HOMER1","HOMER1"
"ENSG00000170439.8",2506.06450533389,1.70665826879414,0.0536867868525396,31.7891676676755,9.13758452232866e-222,3.23144149786066e-218,"Up","Sig",3.23144149786066e-218,"TMT1B","TMT1B"
"ENSG00000221890.6",2602.73467246354,-1.18304680264667,0.0385818936328433,-30.6632643256158,1.75895901742159e-206,5.44287880953395e-203,"Down","Sig",5.44287880953395e-203,"NPTXR","NPTXR"
"ENSG00000138823.14",1648.29359665341,1.59868428139129,0.0550381046758319,29.0468629108388,1.68579311948312e-185,4.63686763031163e-182,"Up","Sig",4.63686763031163e-182,"MTTP","MTTP"
"ENSG00000147883.12",1748.32915797366,1.49552062668177,0.0565962933188683,26.4243564195252,7.19433299434125e-154,1.78095713274918e-150,"Up","Sig",1.78095713274918e-150,"CDKN2B","CDKN2B"
