"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000133048.13",4893.57840732061,-1.93302996912093,0.0452305848934513,-42.7372313153704,0,0,"Down","Sig",0,"CHI3L1","CHI3L1"
"ENSG00000115461.5",4763.74627113029,-1.26363996710555,0.0387780942650342,-32.5864380665286,6.38356468154919e-233,6.50676747990308e-229,"Down","Sig",6.50676747990308e-229,"IGFBP5","IGFBP5"
"ENSG00000130303.14",335.940584510666,-4.72310485449505,0.205282832681435,-23.0077926770648,3.89498326317344e-117,2.64677096010179e-113,"Down","Sig",2.64677096010179e-113,"BST2","BST2"
"ENSG00000135919.14",1309.45282953497,-1.56359414396003,0.0687819666867968,-22.7326175635535,2.13236564870531e-114,1.08676015286266e-110,"Down","Sig",1.08676015286266e-110,"SERPINE2","SERPINE2"
"ENSG00000154096.14",1256.88581350175,-1.47102294061438,0.0675691071525281,-21.7706434583151,4.40404669430126e-105,1.79561791820051e-101,"Down","Sig",1.79561791820051e-101,"THY1","THY1"
"ENSG00000277586.4",1594.33919660341,-1.43848504576776,0.0663371106012781,-21.6844694128123,2.87553763695165e-104,9.77011837781604e-101,"Down","Sig",9.77011837781604e-101,"NEFL","NEFL"
"ENSG00000165194.15",254.121597269439,-3.9866399183514,0.199806263706157,-19.9525272351537,1.4250019097622e-88,4.15001270463031e-85,"Down","Sig",4.15001270463031e-85,"PCDH19","PCDH19"
"ENSG00000171951.5",19944.6350615316,-0.429995820607157,0.0234820442808706,-18.3116859615774,6.67700464155637e-75,1.7014677077846e-71,"Stable","Sig",1.7014677077846e-71,"SCG2","SCG2"
"ENSG00000106366.9",14459.400267979,0.509328816126835,0.0280340419927435,18.1682261965175,9.21288264066173e-74,2.08682028347256e-70,"Stable","Sig",2.08682028347256e-70,"SERPINE1","SERPINE1"
"ENSG00000169855.21",712.548485702227,-1.77815481220442,0.101125892830374,-17.5835759016442,3.29147385782835e-69,6.70999860656888e-66,"Down","Sig",6.70999860656888e-66,"ROBO1","ROBO1"
"ENSG00000128591.16",2980.91268097208,0.861667690824409,0.0496357163544152,17.3598318733192,1.66209417128848e-67,3.0803137978079e-64,"Stable","Sig",3.0803137978079e-64,"FLNC","FLNC"
"ENSG00000138829.14",6320.67138386456,0.608739394361506,0.0394969571331958,15.4123111891544,1.35285536847008e-53,2.29827579513592e-50,"Stable","Sig",2.29827579513592e-50,"FBN2","FBN2"
"ENSG00000120899.18",4618.7588771921,-0.602748159487256,0.0396083165987022,-15.2177171676871,2.69781639649558e-52,4.23059115838146e-49,"Stable","Sig",4.23059115838146e-49,"PTK2B","PTK2B"
"ENSG00000155629.15",6309.71763839916,0.519156811749068,0.0341647814102475,15.1956719849918,3.77769672180485e-52,5.50086609790812e-49,"Stable","Sig",5.50086609790812e-49,"PIK3AP1","PIK3AP1"
