ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007411,axon guidance,30/943,234/18888,2.09478631201782e-6,0.0053710321040136904,0.0050363073017354746,CHN1/GAP43/NIBAN2/EPHB3/ADAM17/EFNB1/EGR2/FLRT3/KIF5C/SEMA5B/SHH/LGR6/CXCL12/NCAM1/SEMA3E/DCC/KIF5A/UNC5C/ARK2C/LAMA2/EPHA5/MYPN/MYCBP2/EFNA3/PTPRO/NTRK1/CRPPA/NEO1/CNTN2/EDN3,30
BP,GO:0097485,neuron projection guidance,30/943,234/18888,2.09478631201782e-6,0.0053710321040136904,0.0050363073017354746,CHN1/GAP43/NIBAN2/EPHB3/ADAM17/EFNB1/EGR2/FLRT3/KIF5C/SEMA5B/SHH/LGR6/CXCL12/NCAM1/SEMA3E/DCC/KIF5A/UNC5C/ARK2C/LAMA2/EPHA5/MYPN/MYCBP2/EFNA3/PTPRO/NTRK1/CRPPA/NEO1/CNTN2/EDN3,30
BP,GO:0007409,axonogenesis,44/943,455/18888,2.2021507488897874e-5,0.03764209680102276,0.035296226740100176,CHN1/GAP43/NIBAN2/EPHB3/ADAM17/ADGRB1/S100B/VCL/EFNB1/PLXNC1/EGR2/PAK3/SLITRK1/FLRT3/KIF5C/RGMA/SEMA5B/NR4A2/SHH/LGR6/SIN3A/CXCL12/NCAM1/SEMA3E/DCC/KIF5A/UNC5C/ARK2C/FN1/LAMA2/EPHA5/NTNG1/MYPN/MYCBP2/EFNA3/PTPRO/NTRK1/CRPPA/SLITRK5/NEO1/MAPT/NTNG2/CNTN2/EDN3,44
CC,GO:0097060,synaptic membrane,41/998,397/19894,1.0088858155745397e-5,0.005760738006930622,0.005309925345129158,SSPN/CHRNA1/FARP1/DENND1A/KCND3/GABRR1/DNM3/STX3/CACNG4/EFNB1/SLITRK1/PRR7/COL13A1/FLRT3/DGKB/NLGN1/ADAM23/GPHN/ADCY8/GRIA4/FCHO2/DCC/GRIK3/SRC/KCNA2/KCNQ5/CNR1/NTNG1/GABBR2/GABRR2/UTRN/PTPRO/DLG2/CLSTN2/SHISA8/PCDH8/RIMS2/NTNG2/ATP2B2/STX11/CNTN2,41
CC,GO:0005788,endoplasmic reticulum lumen,32/998,313/19894,1.113463695896672e-4,0.023055085742239786,0.021250885558336978,MBTPS1/PDGFD/THBS1/ERAP2/STS/CHGB/ADAM17/COL22A1/TMEM132A/COL5A1/STC2/COL13A1/COL21A1/LTBP1/ADAMTS5/FAM20C/COL8A1/SHH/ARSD/BCHE/COL4A5/RDH5/PTGS2/COL4A6/FN1/F8/BMP4/APOA2/ARSF/ADAMTSL4/COL1A2/COL16A1,32
CC,GO:0062023,collagen-containing extracellular matrix,40/998,428/19894,1.2113004768252076e-4,0.023055085742239786,0.021250885558336978,ANXA6/ICAM1/ACTA2/LOXL1/ANXA11/MMP2/THBS1/LOXL3/COL22A1/GDF15/COL5A1/S100A4/SMOC2/VIT/CBLN4/COL13A1/COL21A1/LTBP1/ADAMTS5/COL8A1/SHH/TGFBI/CXCL12/ANGPT1/COL4A5/NCAM1/ADAMTS15/FBN2/COL4A6/FN1/OGN/LAMA2/FBLN2/EMILIN1/ITIH1/VWF/ADAMTSL4/TINAG/COL1A2/COL16A1,40
CC,GO:0044309,neuron spine,21/998,173/19894,1.6191728190780052e-4,0.023113691992338523,0.02130490551418428,PPP3CA/STRN4/ASAP1/FARP1/KCND3/DNM3/ADGRB1/KIF3B/SEPTIN11/EEA1/NTSR1/NLGN1/GRIA4/LAMA2/SLC8A3/PTPRO/MAPT/SHISA8/ATP2B2/ZNF804A/CAMK2A,21
CC,GO:0030286,dynein complex,10/998,54/19894,3.080771018383762e-4,0.027863656722084303,0.025683156716825792,NUDCD3/DNAH11/SNX4/DNAH1/DNAH8/DNAH9/DYNC1I2/DNAH3/DNAI4/DNAH5,10
CC,GO:0045211,postsynaptic membrane,28/998,276/19894,3.306566228161221e-4,0.027863656722084303,0.025683156716825792,SSPN/CHRNA1/FARP1/KCND3/GABRR1/DNM3/CACNG4/SLITRK1/PRR7/COL13A1/FLRT3/DGKB/NLGN1/GPHN/GRIA4/DCC/GRIK3/KCNA2/GABBR2/GABRR2/UTRN/PTPRO/DLG2/CLSTN2/SHISA8/PCDH8/ATP2B2/CNTN2,28
CC,GO:0043197,dendritic spine,20/998,171/19894,3.765055407080258e-4,0.027863656722084303,0.025683156716825792,PPP3CA/STRN4/ASAP1/FARP1/KCND3/DNM3/ADGRB1/KIF3B/SEPTIN11/NTSR1/NLGN1/GRIA4/LAMA2/SLC8A3/PTPRO/MAPT/SHISA8/ATP2B2/ZNF804A/CAMK2A,20
CC,GO:0000786,nucleosome,17/998,135/19894,4.2912948494195426e-4,0.027863656722084303,0.025683156716825792,H2AC6/H2AX/H4C15/H4C14/H2AJ/H2BC5/H1-2/H2BC4/H3C10/H4C8/H2AC13/H3-7/H2BC11/H2BC17/H2AC20/H2AC8/H2BC12L,17
CC,GO:0043025,neuronal cell body,42/998,488/19894,4.8256691922183117e-4,0.027863656722084303,0.025683156716825792,RRM1/GAP43/ENC1/CX3CL1/KCND3/TNFRSF1B/S100B/CPNE5/CRMP1/TMEM100/LMTK2/PJVK/MYO1D/NTSR1/ROR2/KIF5C/KLHL24/ADCY8/GRIA4/NEGR1/GRIK3/KIF5A/MAOB/UNC5C/CTNND2/SRC/KCNA2/SEZ6L/EPHA5/RTN4RL2/PLXDC1/SLC8A3/NTRK1/DLG2/ASTN2/CADM2/BRINP2/MAPT/ASTN1/ATP2B2/ZNF804A/CD22,42
CC,GO:0099572,postsynaptic specialization,32/998,341/19894,5.19282375694452e-4,0.027863656722084303,0.025683156716825792,GAP43/ADD1/CHRNA1/KCND3/DNM3/ADGRB1/CACNG4/SEPTIN11/PAK3/SLITRK1/PRR7/FLRT3/SH2D5/NLGN1/ADD2/GPHN/ADCY8/GRIA4/DCC/GRIK3/CTNND2/SRC/CPEB3/SLC8A3/PTPRO/PRKN/DLG2/CLSTN2/SHISA8/INSYN2B/ATP2B2/CAMK2A,32
CC,GO:0098982,GABA-ergic synapse,12/998,79/19894,5.449446410855344e-4,0.027863656722084303,0.025683156716825792,GAP43/KCND3/GABRR1/SEPTIN11/CBLN4/SLITRK1/NLGN1/CNR1/GUCY1A1/GABRR2/PTPRO/ATP2B2,12
