ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0000786,nucleosome,20/1036,135/19880,0.14814814814814814,2.8428428428428427,5.037524974664926,2.2865299496475206e-5,0.013193277809466194,0.012467605409657008,H2AC6/H4C15/H4C14/H2AX/H2BC4/H2AJ/H2BC5/H1-2/H2AC13/H3-7/H4C8/H2AC20/H3C10/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/H3C15,20
CC,GO:0062023,collagen-containing extracellular matrix,42/1036,432/19880,0.09722222222222222,1.8656156156156156,4.2650102548472795,7.926441429318451e-5,0.016196057093722533,0.01530522224673588,ANXA6/ANXA11/ICAM1/ACTA2/LOXL1/MMP2/LOXL3/COL22A1/VIT/SMOC2/SHH/ADAMTS5/COL13A1/THBS1/COL5A1/GDF15/TGFBI/CBLN4/COL21A1/COL8A1/S100A4/ADAMTS15/CXCL12/FBLN2/OGN/LTBP1/ITIH1/EMILIN1/ANGPT1/COL4A5/COL4A6/ESM1/NCAM1/COL16A1/VWF/VTN/WNT2/FBN2/ANGPTL1/LAMA2/ADAMTSL4/COL1A2,42
CC,GO:0097060,synaptic membrane,43/1036,452/19880,0.09513274336283185,1.8255202104759625,4.162684318459835,1.0725195917633927e-4,0.016196057093722533,0.01530522224673588,CHRNA1/SSPN/CACNG4/ASIC1/DENND1A/GABRR1/EFNB1/PCDH10/DNM3/FARP1/ADCY8/COL13A1/KCND3/DGKB/FLRT3/GRIA4/ADAM23/SLITRK1/PRR7/GPHN/DCC/GABBR2/PTPRO/SRC/MKLN1/GSG1L/NLGN1/NTNG1/TACR1/GABRR2/CNR1/RIMS1/KCNA2/UTRN/GRIK3/DLG2/RIMS2/CLSTN2/PCDH8/CACNA2D1/STX11/RIMS4/SHISA8,43
CC,GO:0005788,endoplasmic reticulum lumen,33/1036,315/19880,0.10476190476190476,2.01029601029601,4.237937870215153,1.1227769215752189e-4,0.016196057093722533,0.01530522224673588,MBTPS1/CHGB/PDGFD/ERAP2/COL22A1/FAM20C/SHH/ADAMTS5/STS/TMEM132A/COL13A1/ADAM17/BCHE/ARSD/THBS1/RDH5/COL5A1/F8/COL21A1/STC2/COL8A1/LTBP1/BMP4/COL4A5/COL4A6/ARSF/COL16A1/PTGS2/VTN/APOA2/ADAMTSL4/COL1A2/IL12B,33
CC,GO:0098982,GABA-ergic synapse,16/1036,108/19880,0.14814814814814814,2.8428428428428427,4.502621843496021,1.4641348582189166e-4,0.016896116263846298,0.015966775927524185,STRN4/GAP43/GABRR1/KCND3/KIF5C/CBLN4/SEPTIN11/SLITRK1/PTPRO/MKLN1/NLGN1/GABRR2/CNR1/CACNA2D1/GUCY1A1/SLC6A17,16
CC,GO:0043505,CENP-A containing nucleosome,6/1036,18/19880,0.3333333333333333,6.396396396396396,5.3705554401219375,2.1321638293250698e-4,0.01757512185029379,0.016608434038953176,H4C15/H4C14/H4C8/H2AC8/H2BC11/H4C11,6
CC,GO:0061638,CENP-A containing chromatin,6/1036,18/19880,0.3333333333333333,6.396396396396396,5.3705554401219375,2.1321638293250698e-4,0.01757512185029379,0.016608434038953176,H4C15/H4C14/H4C8/H2AC8/H2BC11/H4C11,6
CC,GO:0034506,"chromosome, centromeric core domain",6/1036,19/19880,0.3157894736842105,6.059743954480797,5.173630184103722,2.979423525291555e-4,0.02148909217616534,0.020307123501329283,H4C15/H4C14/H4C8/H2AC8/H2BC11/H4C11,6
CC,GO:0044309,neuron spine,21/1036,180/19880,0.11666666666666667,2.2387387387387387,3.91447438585656,4.65645436113456e-4,0.02985304629305157,0.028211033439388324,PPP3CA/STRN4/DNM3/FARP1/ADGRB1/NTSR1/KCND3/ASAP1/KIF3B/GRIA4/EEA1/SEPTIN11/GPHN/PTPRO/SLC8A3/NLGN1/MAPT/CAMK2A/ZNF804A/LAMA2/SHISA8,21
CC,GO:0045211,postsynaptic membrane,31/1036,321/19880,0.09657320872274143,1.8531615727877409,3.6132754958703517,7.294830787427109e-4,0.04209117364345442,0.03977602471460255,CHRNA1/SSPN/CACNG4/ASIC1/GABRR1/PCDH10/DNM3/FARP1/COL13A1/KCND3/DGKB/FLRT3/GRIA4/SLITRK1/PRR7/GPHN/DCC/GABBR2/PTPRO/MKLN1/GSG1L/NLGN1/TACR1/GABRR2/KCNA2/UTRN/GRIK3/DLG2/CLSTN2/PCDH8/SHISA8,31
MF,GO:0030527,structural constituent of chromatin,20/1014,98/18639,0.20408163265306123,3.751358531578312,6.550096775165828,2.555428082257838e-7,2.68319948637073e-4,2.585017249526087e-4,H2AC6/H4C15/H4C14/H2AX/H2BC4/H2AJ/H2BC5/H1-2/H2AC13/H3-7/H4C8/H2AC20/H3C10/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/H3C15,20
MF,GO:0005178,integrin binding,24/1014,161/18639,0.14906832298136646,2.74012275350068,5.318870429417896,6.6569750038211426e-6,0.0034949118770061,0.0033670278835116413,ICAM1/PRKCA/CX3CL1/ADAMTS5/ADAM17/THBS1/COL5A1/TGFBI/ADAM23/S1PR3/CXCL12/IL1B/SRC/CCN4/EMILIN1/FGF1/GFAP/ITGA10/ESM1/COL16A1/VWF/UTRN/VTN/KDR,24
