ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,8/453,25/18888,7.779727945166647e-8,3.2425906075454584e-4,2.6713129007509056e-4,IGFBP5/IGFBP3/WNT1/BMP5/IGFBP6/BMP2/CILP/CDH3,8
BP,GO:0010038,response to metal ion,27/453,360/18888,1.8962233532901468e-7,3.951729468256666e-4,3.2555160939118203e-4,NDRG1/MTTP/EGFR/HOMER1/PCSK1/PGAM2/KCNK3/TH/SYT4/RYR3/SMPD3/SHH/SYT12/SYT7/CPNE4/DRD2/RASGRP2/NFATC4/ANK3/SCN5A/TESMIN/GIPR/RASAL1/AQP1/CEBPA/SYT13/TCIRG1,27
BP,GO:0030198,extracellular matrix organization,25/453,332/18888,5.023587688706434e-7,4.682230198497075e-4,3.8573176349877413e-4,COL4A5/EMILIN1/COL5A1/ADAMTS3/ADAMTS9/CSGALNACT1/SMPD3/MMP24/FBLN1/COL27A1/GAS6/COL4A6/BMP2/CARMIL2/SERPINF2/COL12A1/ADAMTS2/WT1/KIF9/ADAMTS14/COL4A3/LCP1/FOXF1/COL14A1/ADAMTSL2,25
BP,GO:0043062,extracellular structure organization,25/453,333/18888,5.312601595340423e-7,4.682230198497075e-4,3.8573176349877413e-4,COL4A5/EMILIN1/COL5A1/ADAMTS3/ADAMTS9/CSGALNACT1/SMPD3/MMP24/FBLN1/COL27A1/GAS6/COL4A6/BMP2/CARMIL2/SERPINF2/COL12A1/ADAMTS2/WT1/KIF9/ADAMTS14/COL4A3/LCP1/FOXF1/COL14A1/ADAMTSL2,25
BP,GO:0045229,external encapsulating structure organization,25/453,334/18888,5.61687883696866e-7,4.682230198497075e-4,3.8573176349877413e-4,COL4A5/EMILIN1/COL5A1/ADAMTS3/ADAMTS9/CSGALNACT1/SMPD3/MMP24/FBLN1/COL27A1/GAS6/COL4A6/BMP2/CARMIL2/SERPINF2/COL12A1/ADAMTS2/WT1/KIF9/ADAMTS14/COL4A3/LCP1/FOXF1/COL14A1/ADAMTSL2,25
BP,GO:0071248,cellular response to metal ion,18/453,200/18888,1.6642303292069777e-6,0.0010928866522780007,9.00342524429447e-4,EGFR/KCNK3/TH/SYT4/RYR3/SMPD3/SHH/SYT12/SYT7/CPNE4/RASGRP2/NFATC4/ANK3/SCN5A/RASAL1/AQP1/CEBPA/SYT13,18
BP,GO:0061448,connective tissue development,22/453,288/18888,1.9251575275375894e-6,0.0010928866522780007,9.00342524429447e-4,UBB/DLX2/COL5A1/WNT7A/PDGFB/CSGALNACT1/SMPD3/CHI3L1/WNT10B/BMP5/COL27A1/FOXD1/BMP2/CCN3/RORC/GDF6/UMODL1/WT1/RFLNA/ZNF664-RFLNA/NOG/BMPR1B,22
BP,GO:0031589,cell-substrate adhesion,25/453,359/18888,2.097671117616124e-6,0.0010928866522780007,9.00342524429447e-4,EMILIN1/L1CAM/PDGFB/FAM107A/ADAMTS9/ARHGAP6/WNT1/THSD1/SERPINE1/SFRP1/FBLN1/TRIP6/ST6GAL1/GAS6/SRCIN1/NEXMIF/GBP1/SMAD6/APOD/ITGA2/ITGA10/WNT4/OLFM4/FOXF1/AXL,25
BP,GO:0006836,neurotransmitter transport,18/453,206/18888,2.5427670204149185e-6,0.0011511535248049298,9.483439736119002e-4,NRXN2/RIMS3/GABRQ/WNT7A/GRIK5/TH/SYT4/CPLX2/SLC1A2/SYT12/SYT7/DRD2/CADPS2/SNPH/SLC17A8/RPH3A/SLC6A11/ATP1A2,18
BP,GO:0048705,skeletal system morphogenesis,19/453,229/18888,2.9023726911367743e-6,0.0011511535248049298,9.483439736119002e-4,DLX2/WNT7A/RDH10/CSGALNACT1/SMPD3/SFRP1/WNT10B/ALPL/EYA1/COL27A1/HOXD10/DSCAML1/HOXD9/PAX5/HOXB7/RFLNA/ZNF664-RFLNA/NOG/BMPR1B,19
BP,GO:0050804,modulation of chemical synaptic transmission,30/453,493/18888,3.2839237474864445e-6,0.0011511535248049298,9.483439736119002e-4,RIMS3/EGFR/HOMER1/NSG1/WNT7A/GRIK5/FAM107A/SYT4/CPLX2/GRIK1/SYT12/SYT7/JPH3/NEURL1/DRD2/SLC8A3/DLGAP3/NFATC4/SHANK2/RASGRF1/GRM2/CACNA1A/PLPPR4/CCL2/ATP1A2/CLSTN2/CYP46A1/SORCS2/NEFH/NOG,30
BP,GO:0099177,regulation of trans-synaptic signaling,30/453,494/18888,3.4197459723045612e-6,0.0011511535248049298,9.483439736119002e-4,RIMS3/EGFR/HOMER1/NSG1/WNT7A/GRIK5/FAM107A/SYT4/CPLX2/GRIK1/SYT12/SYT7/JPH3/NEURL1/DRD2/SLC8A3/DLGAP3/NFATC4/SHANK2/RASGRF1/GRM2/CACNA1A/PLPPR4/CCL2/ATP1A2/CLSTN2/CYP46A1/SORCS2/NEFH/NOG,30
BP,GO:0050878,regulation of body fluid levels,25/453,370/18888,3.5904500533743006e-6,0.0011511535248049298,9.483439736119002e-4,EGFR/EMILIN1/PDGFB/VAV3/SERPINE1/SHH/FBLN1/NEURL1/DRD2/GAS6/PRSS56/KCNN4/SERPINF2/NPR3/NPR1/TPH1/AQP1/SCNN1G/ITGA2/TSPAN18/PLA2G4A/PLEK/F11R/AXL/MYL9,25
BP,GO:0048167,regulation of synaptic plasticity,18/453,216/18888,4.969360260242256e-6,0.0014794495403349804,0.0012188009901436272,RIMS3/NSG1/FAM107A/SYT4/CPLX2/SYT12/SYT7/JPH3/NEURL1/DRD2/SLC8A3/NFATC4/SHANK2/RASGRF1/GRM2/CYP46A1/SORCS2/NOG,18
BP,GO:0023061,signal release,29/453,487/18888,7.269605478820454e-6,0.002019981042381577,0.0016641019699587592,NRXN2/RIMS3/EGFR/WNT7A/SPP1/GRIK5/PTPRN/SYT4/CPLX2/SMPD3/SYT12/NNAT/SFRP1/SYT7/GLP1R/DRD2/NOS2/FOXD1/CCN3/GIPR/CADPS2/SNPH/AQP1/GRM2/RPH3A/PLA2G4A/SYT13/TCIRG1/GCK,29
BP,GO:0071241,cellular response to inorganic substance,18/453,229/18888,1.1160629321172278e-5,0.0026582416860503025,0.002189914228683727,EGFR/KCNK3/TH/SYT4/RYR3/SMPD3/SHH/SYT12/SYT7/CPNE4/RASGRP2/NFATC4/ANK3/SCN5A/RASAL1/AQP1/CEBPA/SYT13,18
BP,GO:0051592,response to calcium ion,14/453,146/18888,1.1502898079550427e-5,0.0026582416860503025,0.002189914228683727,MTTP/EGFR/HOMER1/PCSK1/SYT4/RYR3/SYT12/SYT7/CPNE4/RASGRP2/SCN5A/GIPR/RASAL1/SYT13,14
BP,GO:0002685,regulation of leukocyte migration,18/453,230/18888,1.184545551129142e-5,0.0026582416860503025,0.002189914228683727,EMILIN1/SERPINE1/TNFAIP6/SPNS2/SMPD3/BMP5/GAS6/PRSS56/MSTN/CCN3/CMKLR1/CD74/IL33/APOD/ITGA2/RARRES2/IL34/CCL2,18
BP,GO:0001658,branching involved in ureteric bud morphogenesis,9/453,60/18888,1.2117704422974027e-5,0.0026582416860503025,0.002189914228683727,WNT1/SHH/EYA1/FOXD1/BMP2/WT1/WNT4/HOXB7/NOG,9
BP,GO:0048880,sensory system development,25/453,403/18888,1.571219509255319e-5,0.003274421457288085,0.0026975358101004477,EGFR/CRYAB/DLX2/DCX/DLX1/EPHA2/TUB/COL5A1/WNT7A/RDH10/TH/NKD1/NHS/SHH/DRD2/PRSS56/SAMD11/MYO7A/WT1/AQP1/SLC17A8/TCIRG1/TMEM132E/LAMC3/BMPR1B,25
BP,GO:0060395,SMAD protein signal transduction,11/453,95/18888,1.7065728393061277e-5,0.0033871407591561623,0.0027903962916373875,EMILIN1/SMAD9/RBPMS/BMP5/BMP2/CCN3/LDLRAD4/GDF6/CILP/SMAD6/NOG,11
BP,GO:0006813,potassium ion transport,18/453,241/18888,2.2276775512842784e-5,0.0037823306688014487,0.0031159618753486018,KCNF1/KCNJ9/KCNK3/KCNJ16/HCN4/ATP1A3/KCNN2/DRD2/SLC9A2/KCNK12/KCNN4/ANK3/KCNK13/AQP1/KCNG2/ATP1A2/KCNG1/GCK,18
