ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0030198,extracellular matrix organization,30/549,339/18805,0.08849557522123894,3.0312555410480844,6.5446507611194455,7.558641392032864e-8,1.2401469234449915e-4,1.058348917350946e-4,COL4A5/COL5A1/ADAMTS3/EMILIN1/CSGALNACT1/SMPD3/COL4A6/ADAMTS9/COL27A1/FBLN1/MMP24/GAS6/CARMIL2/COL12A1/BMP2/SERPINF2/ITGA2/ADAMTS14/ADAMTS2/WT1/ADAMTS5/FOXF1/ADAMTSL2/COL4A3/KIF9/LCP1/COL1A2/MMP25/HAPLN2/COL14A1,30
BP,GO:0043062,extracellular structure organization,30/549,340/18805,0.08823529411764706,3.022340083574414,6.525705526773086,8.067487395675478e-8,1.2401469234449915e-4,1.058348917350946e-4,COL4A5/COL5A1/ADAMTS3/EMILIN1/CSGALNACT1/SMPD3/COL4A6/ADAMTS9/COL27A1/FBLN1/MMP24/GAS6/CARMIL2/COL12A1/BMP2/SERPINF2/ITGA2/ADAMTS14/ADAMTS2/WT1/ADAMTS5/FOXF1/ADAMTSL2/COL4A3/KIF9/LCP1/COL1A2/MMP25/HAPLN2/COL14A1,30
BP,GO:0045229,external encapsulating structure organization,30/549,341/18805,0.08797653958944282,3.013476916173902,6.506829525125488,8.608146159960607e-8,1.2401469234449915e-4,1.058348917350946e-4,COL4A5/COL5A1/ADAMTS3/EMILIN1/CSGALNACT1/SMPD3/COL4A6/ADAMTS9/COL27A1/FBLN1/MMP24/GAS6/CARMIL2/COL12A1/BMP2/SERPINF2/ITGA2/ADAMTS14/ADAMTS2/WT1/ADAMTS5/FOXF1/ADAMTSL2/COL4A3/KIF9/LCP1/COL1A2/MMP25/HAPLN2/COL14A1,30
BP,GO:0006836,neurotransmitter transport,22/549,211/18805,0.10426540284360189,3.571422405234852,6.51383446850259,2.611487242866826e-7,2.8217119659176056e-4,2.4080661313171994e-4,NRXN2/GABRQ/RIMS3/TH/TSPOAP1/GRIK5/WNT7A/CPLX2/SYT12/SYT7/SYT4/SLC1A2/DRD2/SNPH/CADPS2/ATP1A2/SLC6A11/SLC17A8/SLC6A7/RPH3A/SYT13/MCTP1,22
BP,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,8/549,25/18805,0.32,10.961020036429874,8.64240280408744,3.499054904732791e-7,3.0245830596510245e-4,2.581197554986042e-4,IGFBP5/IGFBP3/WNT1/BMP5/IGFBP6/BMP2/CILP/CDH3,8
BP,GO:0001503,ossification,33/549,458/18805,0.07205240174672489,2.4680244350585823,5.515589966289943,1.9238353492329924e-6,0.001385802729897499,0.0011826524673179658,IGFBP5/SMAD9/IGFBP3/EPHA2/SPP1/EGFR/CSGALNACT1/ALPL/TNFAIP6/SHH/SMPD3/WNT10B/BMP5/FZD9/SFRP1/BMP2/TPH1/CCN3/SMAD6/NOTUM/TWIST2/CYP24A1/GLI1/RFLNA/ZNF664-RFLNA/BMPR1B/CEBPA/SLC8A1/COL1A2/DLX5/RYR1/TCIRG1/ALOX5,33
BP,GO:0023061,signal release,34/549,497/18805,0.06841046277665996,2.3432764162387807,5.262978700224363,4.20990678080307e-6,0.0025993167295186954,0.0022182726857043543,NRXN2/SPP1/RIMS3/EGFR/TSPOAP1/GRIK5/WNT7A/CPLX2/SYT12/SYT7/GLP1R/SYT4/SMPD3/PTPRN/NOS2/SFRP1/NNAT/DRD2/SNPH/CCN3/GIPR/FOXD1/GRM2/CADPS2/AQP1/PLA2G4A/RPH3A/GCK/C1QTNF1/SYT13/TGM2/TCIRG1/ALOX5/MCTP1,34
BP,GO:0048705,skeletal system morphogenesis,21/549,233/18805,0.09012875536480687,3.08719716691292,5.5593060007660435,5.143000580205767e-6,0.0027785060634561657,0.002371193951715922,DLX2/RDH10/WNT7A/CSGALNACT1/ALPL/SMPD3/WNT10B/EYA1/COL27A1/SFRP1/HOXD10/HOXD9/DSCAML1/PAX5/HOXB7/RFLNA/ZNF664-RFLNA/PAPPA2/BMPR1B/DLX5/HOXD8,21
BP,GO:0031099,regeneration,19/549,203/18805,0.09359605911330049,3.2059633727242547,5.4799295613524945,8.374869924569932e-6,0.003635921465127807,0.003102917463603067,RTN4RL1/SPP1/EGFR/WNT7A/WNT1/WNT10B/FZD9/FOLR1/GAS6/MSTN/CCN3/SOX15/GLI1/APOD/AXL/LCP1/KIAA0319/MYMX/EPPK1,19
BP,GO:0048009,insulin-like growth factor receptor signaling pathway,13/549,102/18805,0.12745098039215685,4.365602342940819,5.910384437589798,8.44886503920704e-6,0.003635921465127807,0.003102917463603067,IGFBP5/IGFBP3/EPHA2/EGFR/WNT1/BMP5/IGFBP6/BMP2/EPHA10/CILP/CDH3/AXL/INSRR,13
BP,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,30/549,427/18805,0.0702576112412178,2.406547139145903,5.098325808317677,9.253849170848189e-6,0.003635921465127807,0.003102917463603067,CDKN2B/DLX1/SMAD9/EMILIN1/TNFAIP6/SHH/WNT1/SMPD3/BMP5/SFRP1/FOLR1/RBPMS/MSTN/BMP2/CCN3/SMAD6/LDLRAD4/FOXD1/CILP/PRDM16/ADAMTSL2/CDH3/BMPR1B/GDF6/COL1A2/DLX5/KIAA0319/LRG1/DMRT1/CLDN5,30
BP,GO:0006813,potassium ion transport,21/549,245/18805,0.08571428571428572,2.9359875097580015,5.289383879271615,1.1184673983609159e-5,0.003662993068198673,0.003126020534101695,KCNJ9/KCNF1/HCN4/KCNN2/ATP1A3/KCNJ16/KCNK3/SLC9A2/KCNK12/DRD2/KCNN4/ANK3/KCNK13/ATP1A2/KCNG2/AQP1/KCNT1/CNGB1/GCK/CACNA1D/KEL,21
BP,GO:0050878,regulation of body fluid levels,28/549,388/18805,0.07216494845360824,2.4718795185247777,5.080274287160339,1.121980563106052e-5,0.003662993068198673,0.003126020534101695,EGFR/EMILIN1/PDGFB/SERPINE1/SHH/FBLN1/GAS6/NEURL1/PRSS56/DRD2/KCNN4/VAV3/TPH1/SERPINF2/NPR1/NPR3/ITGA2/ANGPTL1/TSPAN18/AQP1/SCNN1G/PLA2G4A/TSPAN32/AXL/ANGPT1/MYL9/C1QTNF1/SCUBE1,28
BP,GO:0010038,response to metal ion,26/549,347/18805,0.07492795389048991,2.5665212621323548,5.107603670342626,1.1973579456011603e-5,0.003662993068198673,0.003126020534101695,NDRG1/HOMER1/MTTP/PCSK1/TH/EGFR/PGAM2/SHH/KCNK3/SMPD3/CPNE4/RYR3/RASGRP2/DRD2/TESMIN/ANK3/SCN5A/RASAL1/GIPR/NFATC4/ATP1A2/AQP1/FBP1/CEBPA/RYR1/TCIRG1,26
BP,GO:0098739,import across plasma membrane,19/549,209/18805,0.09090909090909091,3.1139261467130317,5.32919565008063,1.2712840357006038e-5,0.003662993068198673,0.003126020534101695,KCNJ9/HCN4/ATP1A3/KCNJ16/SLC9A2/SLC1A2/KCNN4/SLC8A3/ATP1A2/SLC15A2/SLC7A3/SCNN1G/SLC8A1/SLC17A8/SLC6A7/CACNA1A/CACNA1D/SLC39A4/SLC5A2,19
BP,GO:0051146,striated muscle cell differentiation,24/549,311/18805,0.07717041800643087,2.643332806212992,5.067558525281633,1.5910299673921408e-5,0.004297769699418021,0.003667742766935567,HOMER1/IGFBP5/ADAM12/SHH/WNT1/WNT10B/BMP2/CCN3/KLHL41/WT1/FLNC/ADAMTS5/MYLK3/SYNPO2L/SLC8A1/CASQ1/RYR1/MYL9/TNNT1/MYMX/LMOD2/KEL/IL4R/COL14A1,24
BP,GO:0006814,sodium ion transport,21/549,252/18805,0.08333333333333333,2.8544323011536124,5.139402854879617,1.7151924588446053e-5,0.004360624592427285,0.0037213835144219794,HCN4/SCN3A/ATP1A3/KCNK3/SLC9A2/DRD2/SLC8A3/ANK3/SCN5A/NKAIN3/ATP1A2/CNTN1/SCNN1G/CNGB1/SLC8A1/SLC6A11/SLC17A8/SLC6A7/CLCNKB/SLC5A2/PRSS8,21
