category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,12/226,103/9422,6.041669682168439e-6,0.0015616167335569633,0.0012691157664356126,COL4A5/COL5A1/COL20A1/ATP1A3/COL27A1/COL4A6/SLC8A3/KCNN4/COL12A1/ATP1A2/COL4A3/COL14A1,12
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,9/226,63/9422,1.719797697334724e-5,0.0015616167335569633,0.0012691157664356126,WNT7A/GADD45G/WNT1/FZD9/SHH/WNT10B/WNT10A/BMP2/WNT4,9
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,12/226,116/9422,2.0652916308099124e-5,0.0015616167335569633,0.0012691157664356126,HOMER1/GRIK5/GRIK1/SLC1A2/GNG11/ADCY2/SHANK2/GNG3/GRM2/SLC17A8/CACNA1A/PLA2G4A,12
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,14/226,157/9422,2.339166391109459e-5,0.0015616167335569633,0.0012691157664356126,CTNNA2/WNT7A/NKD1/WNT1/FZD9/SERPINE1/LLGL2/WNT10B/BMP5/WNT10A/BMP2/GDF6/WNT4/BMPR1B,14
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,16/226,203/9422,2.8706189955091237e-5,0.0015616167335569633,0.0012691157664356126,EGFR/COL4A5/PDGFB/SPP1/VAV3/COL4A6/LAMB3/RASGRF1/PIK3CD/MYLK3/ITGA2/ITGA10/COL4A3/LAMC3/MYL9/MYLK2,16
NA,NA,hsa04820,Cytoskeleton in muscle cells,17/226,233/9422,4.342180621588678e-5,0.0019684552151202008,0.0015997507553221447,COL4A5/COL5A1/ATP1A3/FBLN1/COL27A1/COL4A6/ANK3/SGCG/CKM/ITGA2/ITGA10/FLNC/ATP1A2/COL4A3/TNNT1/AMPD3/MYL9,17
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,13/226,150/9422,6.183889090332418e-5,0.002402882617957739,0.0019528070811576058,EGFR/CDKN2B/CTNNA2/WNT7A/GADD45G/WNT1/FZD9/SHH/WNT10B/WNT10A/PIK3CD/WNT4/ABCB1,13
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,10/226,93/9422,7.319551252590951e-5,0.0024886474258809235,0.002022507582952763,CDKN2B/COL4A5/GADD45G/COL4A6/NOS2/LAMB3/PIK3CD/ITGA2/COL4A3/LAMC3,10
NA,NA,hsa04517,IgSF CAM signaling,18/226,300/9422,3.142931404197298e-4,0.008662913862038747,0.007040293773328705,CNTN2/SLITRK3/GRIP2/L1CAM/UNC5A/PLXNA2/VAV3/CADM3/CLMP/SLITRK1/ANK3/PIK3CD/MYLK3/CNTN1/IGSF5/F11R/MYL9/MYLK2,18
Human Diseases,Substance dependence,hsa05032,Morphine addiction,9/226,91/9422,3.184894802220128e-4,0.008662913862038747,0.007040293773328705,KCNJ9/PDE2A/GABRQ/GNG11/PDE1A/ADCY2/GABRA5/GNG3/CACNA1A,9
