ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007059,chromosome segregation,127/2408,423/18888,2.2758522374981772e-21,1.3732492401064002e-17,1.1472690910925022e-17,HJURP/AURKA/RMI2/FAM83D/TPX2/UHRF1/TRIP13/CDK1/TOP2A/CENPU/MAD2L1/SKA1/KIF2C/DIAPH3/HASPIN/SGO2/KIFC1/CDCA8/CCNB1/PLK1/CCNB2/DSN1/ZWINT/BUB1/NUF2/SKA3/MZT1/FANCD2/CCNE2/CDCA2/CDCA5/CENPE/NCAPH/NCAPG/CENPH/KIF18B/CDT1/NDC80/TTK/CENPN/SGO1/RACGAP1/ESCO2/ESPL1/MYBL2/MAP9/RCC1/MKI67/FBXO5/NEK2/CDC6/AURKB/TUBB/CENPI/SMC4/HAUS6/SPAG5/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/PSMC3IP/UBE2C/XRCC3/BIRC5/KIF14/KNL1/MIS18A/NCAPD2/GPSM2/KIF11/SMARCE1/RAD18/KIF4B/TACC3/KNSTRN/BUB1B/KIF18A/CENPO/BRCA1/CENPF/CENPW/CEP85/ECT2/ACTL6A/INCENP/MAP3K20/HAUS8/MTCL2/OIP5/ZWILCH/CDC20/TUBG1/MAPRE3/SPDL1/NCAPD3/PTTG2/CENPJ/CENPL/MTCL1/RECQL5/PTTG1/SPC24/SRPK1/NDE1/STIL/PTTG3P/SPC25/BRIP1/NDC1/ASPM/GEM/FIRRM/ZCWPW1/KNTC1/MAEL/GEN1/CEP97/TUBGCP3/C14orf39/CHMP4A/FMN2/REC8/MAPK15/SYCP2,127
BP,GO:0098813,nuclear chromosome segregation,95/2408,317/18888,3.061975955205699e-16,9.237981456855595e-13,7.717790973410576e-13,AURKA/RMI2/FAM83D/TPX2/UHRF1/TRIP13/CDK1/TOP2A/MAD2L1/SKA1/KIF2C/HASPIN/KIFC1/CDCA8/CCNB1/PLK1/CCNB2/DSN1/ZWINT/BUB1/NUF2/SKA3/MZT1/FANCD2/CCNE2/CDCA5/CENPE/NCAPH/NCAPG/KIF18B/CDT1/NDC80/TTK/SGO1/RACGAP1/ESPL1/MYBL2/MAP9/FBXO5/NEK2/CDC6/AURKB/CENPI/SMC4/SPAG5/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/PSMC3IP/UBE2C/XRCC3/BIRC5/KIF14/KNL1/NCAPD2/KIF11/SMARCE1/KIF4B/TACC3/KNSTRN/BUB1B/KIF18A/CENPF/ECT2/ACTL6A/INCENP/MAP3K20/ZWILCH/CDC20/TUBG1/SPDL1/NCAPD3/PTTG2/PTTG1/SPC24/PTTG3P/SPC25/BRIP1/NDC1/ASPM/GEM/ZCWPW1/KNTC1/MAEL/GEN1/CEP97/C14orf39/CHMP4A/FMN2/REC8/MAPK15/SYCP2,95
BP,GO:0000280,nuclear division,119/2408,446/18888,9.501639861238405e-16,1.911096497423751e-12,1.5966088875603765e-12,AURKA/TPX2/UHRF1/TRIP13/CDK1/TOP2A/KIF20B/MAD2L1/SKA1/KIF2C/HASPIN/KIFC1/CDCA8/CCNB1/PLK1/CCNB2/ZWINT/BUB1/NUF2/SKA3/MZT1/RAD54L/FANCD2/CCNE2/CDCA2/EME1/LIF/RAD51/CDCA5/CENPE/NCAPH/NCAPG/KIF18B/CDT1/GPR3/NDC80/TTK/SGO1/RACGAP1/ESPL1/MYBL2/MYBL1/MAP9/RCC1/MKI67/FBXO5/NEK2/BRCA2/PDGFRB/AURKB/CENPI/SMC4/ANLN/SPAG5/MASTL/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/PSMC3IP/UBE2C/XRCC3/BIRC5/RAD51AP1/KIF14/FANCA/KNL1/HSPA2/NCAPD2/KIF11/CHEK1/PKMYT1/TGFA/KIF4B/KNSTRN/BORA/BUB1B/KIF18A/CDC25C/PDGFB/CENPF/CEP85/INCENP/ZWILCH/CDC20/TUBG1/SPDL1/NCAPD3/PTTG2/FANCM/PTTG1/SPC24/NDE1/PTTG3P/RMI1/SPC25/BRIP1/NDC1/ASPM/SPHK1/ZCWPW1/FIGNL1/KNTC1/MAEL/GEN1/CEP97/FBXO43/C14orf39/UBE2S/CHMP4A/CYP26B1/CCDC8/IL1B/FMN2/REC8/MAPK15/SYCP2,119
BP,GO:0006261,DNA-templated DNA replication,60/2408,160/18888,1.39510444007253e-15,2.1045150478494116e-12,1.7581987272387754e-12,ORC1/MCM4/ORC6/CDK2/CDC45/MCM3/DSCC1/GINS1/CCNE2/EME1/RAD51/E2F7/CDT1/MCM6/FEN1/RFC3/MCM2/FBXO5/BRCA2/CDC6/HMGA1/RRM1/MCM10/GINS4/WDHD1/MCM5/TICRR/PCNA/RFWD3/RFC5/BLM/TIMELESS/POLD3/ATAD5/GINS2/DBF4/MCM8/RFC4/RBBP8/E2F8/BRCA1/PRIM2/GMNN/POLE2/NOC3L/MMS22L/BARD1/TK1/CDC7/PRIM1/POLQ/POLD1/DNA2/FANCM/RECQL5/GEN1/BCL6/TRAIP/POLA2/POLN,60
BP,GO:0140014,mitotic nuclear division,85/2408,277/18888,2.468073540269427e-15,2.9784711483971443e-12,2.488337723021113e-12,AURKA/TPX2/UHRF1/TRIP13/CDK1/KIF20B/MAD2L1/SKA1/KIF2C/HASPIN/KIFC1/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/SKA3/MZT1/CDCA2/CDCA5/CENPE/NCAPH/NCAPG/KIF18B/CDT1/NDC80/TTK/RACGAP1/ESPL1/MYBL2/MAP9/RCC1/MKI67/FBXO5/NEK2/PDGFRB/AURKB/CENPI/SMC4/ANLN/SPAG5/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/UBE2C/XRCC3/BIRC5/KIF14/KNL1/NCAPD2/KIF11/CHEK1/PKMYT1/TGFA/KIF4B/KNSTRN/BORA/BUB1B/KIF18A/CDC25C/PDGFB/CENPF/CEP85/INCENP/ZWILCH/CDC20/TUBG1/SPDL1/NCAPD3/SPC24/NDE1/SPC25/SPHK1/KNTC1/GEN1/CEP97/FBXO43/UBE2S/CHMP4A/CCDC8/IL1B,85
BP,GO:0000070,mitotic sister chromatid segregation,65/2408,188/18888,9.176259720172502e-15,9.228258525253478e-12,7.709668035071249e-12,TPX2/UHRF1/TRIP13/CDK1/MAD2L1/SKA1/KIF2C/HASPIN/KIFC1/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/SKA3/MZT1/CDCA5/CENPE/NCAPH/NCAPG/KIF18B/CDT1/NDC80/TTK/RACGAP1/ESPL1/MYBL2/MAP9/FBXO5/NEK2/AURKB/CENPI/SMC4/SPAG5/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/UBE2C/XRCC3/BIRC5/KIF14/KNL1/NCAPD2/KIF11/KIF4B/KNSTRN/BUB1B/KIF18A/CENPF/INCENP/ZWILCH/CDC20/TUBG1/SPDL1/NCAPD3/SPC24/SPC25/KNTC1/GEN1/CEP97/CHMP4A,65
BP,GO:0048285,organelle fission,125/2408,493/18888,1.1439814812128921e-14,9.86112036805513e-12,8.238386937636903e-12,AURKA/TPX2/UHRF1/TRIP13/CDK1/TOP2A/KIF20B/MAD2L1/SKA1/KIF2C/HASPIN/KIFC1/CDCA8/CCNB1/PLK1/CCNB2/ZWINT/BUB1/NUF2/SKA3/MZT1/MTFR2/RAD54L/FANCD2/CCNE2/CDCA2/EME1/LIF/RAD51/CDCA5/CENPE/NCAPH/NCAPG/KIF18B/STAT2/CDT1/GPR3/NDC80/TTK/SGO1/RACGAP1/ESPL1/MYBL2/MYBL1/MAP9/RCC1/MKI67/FBXO5/NEK2/BRCA2/PDGFRB/AURKB/CENPI/SMC4/ANLN/SPAG5/MASTL/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/PSMC3IP/UBE2C/XRCC3/BIRC5/RAD51AP1/KIF14/FANCA/KNL1/HSPA2/NCAPD2/KIF11/CHEK1/PKMYT1/PEX11G/TGFA/KIF4B/KNSTRN/BORA/BUB1B/KIF18A/CDC25C/PDGFB/CENPF/CEP85/INCENP/CORO1C/MCU/ZWILCH/CDC20/MTFR1/TUBG1/SPDL1/NCAPD3/PTTG2/FANCM/PTTG1/SPC24/NDE1/PTTG3P/RMI1/SPC25/BRIP1/NDC1/ASPM/SPHK1/ZCWPW1/FIGNL1/KNTC1/MAEL/GEN1/CEP97/FBXO43/C14orf39/UBE2S/CHMP4A/CYP26B1/CCDC8/IL1B/FMN2/REC8/MAPK15/SYCP2,125
BP,GO:0000819,sister chromatid segregation,73/2408,229/18888,2.645888343687083e-14,1.9693778854193525e-11,1.645299564445908e-11,RMI2/TPX2/UHRF1/TRIP13/CDK1/TOP2A/MAD2L1/SKA1/KIF2C/HASPIN/KIFC1/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/SKA3/MZT1/CDCA5/CENPE/NCAPH/NCAPG/KIF18B/CDT1/NDC80/TTK/RACGAP1/ESPL1/MYBL2/MAP9/FBXO5/NEK2/CDC6/AURKB/CENPI/SMC4/SPAG5/DLGAP5/NCAPG2/KIF23/PRC1/KIF4A/CENPK/UBE2C/XRCC3/BIRC5/KIF14/KNL1/NCAPD2/KIF11/SMARCE1/KIF4B/TACC3/KNSTRN/BUB1B/KIF18A/CENPF/ACTL6A/INCENP/MAP3K20/ZWILCH/CDC20/TUBG1/SPDL1/NCAPD3/SPC24/SPC25/KNTC1/GEN1/CEP97/CHMP4A/MAPK15,73
BP,GO:0006260,DNA replication,83/2408,278/18888,2.937421439969203e-14,1.9693778854193525e-11,1.645299564445908e-11,ID3/DTL/RMI2/ORC1/CDK1/MCM4/TSPYL2/ORC6/CDK2/CDC45/CHAF1B/MCM3/DSCC1/FAM111B/GINS1/CCNE2/CDC25A/EME1/RAD51/E2F7/CDT1/CCNA2/MCM6/ESCO2/FEN1/RFC3/MCM2/CHAF1A/JADE2/FBXO5/BRCA2/CDC6/HMGA1/RRM1/MCM10/GINS4/WDHD1/MCM5/TICRR/PCNA/POLH/RFWD3/RFC5/WEE1/BLM/CDKN1A/TIMELESS/POLD3/ATAD5/CHEK1/GINS2/DBF4/MCM8/RFC4/RBBP8/E2F8/BRCA1/PRIM2/GMNN/POLE2/NOC3L/MMS22L/BARD1/TK1/ACTL6A/CDC7/PRIM1/POLQ/POLD1/POLL/DNA2/FANCM/RECQL5/RMI1/UCHL5/USP37/GEN1/BCL6/TRAIP/ADRA2A/ZBTB38/POLA2/POLN,83
BP,GO:1905818,regulation of chromosome separation,36/2408,74/18888,5.958954133384517e-14,3.595632924084217e-11,3.003940141555626e-11,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NCAPH/NCAPG/NDC80/TTK/ESPL1/FBXO5/AURKB/SMC4/DLGAP5/NCAPG2/UBE2C/XRCC3/BIRC5/KNL1/NCAPD2/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/NCAPD3/SPC24/SPC25/KNTC1/GEN1/MAPK15,36
