category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,50/1153,158/9392,0.31645569620253167,2.577755332813684,7.481808492591179,8.330531626826993e-11,2.8906944745089664e-8,2.3413178361713757e-8,MCM3/CDK1/ORC1/MYC/MAD2L1/CDK2/CCNB2/MCM4/CDC45/ORC6/CCNB1/PLK1/TRIP13/GADD45A/ESPL1/MCM6/MCM2/SGO1/NDC80/CDC25A/TICRR/CCNE2/CDCA5/PCNA/BUB1/ESCO2/E2F1/CDT1/TTK/CCND1/DBF4/CCNA2/WEE1/FBXO5/CDC6/MCM5/AURKB/CDKN1A/CHEK1/CDC25C/E2F2/KNL1/PKMYT1/TGFB3/BUB1B/CDC7/CDC20/PTTG1/PTTG2/RBL1,50
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,58/1153,233/9392,0.24892703862660945,2.0276866841119827,5.942209821697679,6.51480864057382e-8,8.564798886081663e-6,6.93705840310573e-6,ATP1B2/SDC3/ITGA5/ITGA3/TPM4/SDC1/ITGB4/ATP1A2/TPM3/LMNB2/DIAPH3/COL3A1/XIRP1/ATP1A1/MYH9/FHL2/AGRN/ACTN2/ITGA1/COL1A1/MYBPC2/COL1A2/ITGA9/AMPD3/TMOD4/MYH15/THBS4/COL9A1/TMOD1/FBLN1/LMNB1/THBS2/MYH11/ANK3/ACTG2/NID1/ELN/MYH7/CSRP3/MYH7B/ATP1B4/BGN/MYOZ2/DSG2/FBLN2/TRIM55/MYH3/PDLIM2/FBN2/ITGA6/MYL5/SGCG/MYPN/LMOD1/FBN3/TNNT3/PDLIM1/FMN2,58
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,49/1153,184/9392,0.266304347826087,2.169237150722124,5.991867272666069,7.404725261742071e-8,8.564798886081663e-6,6.93705840310573e-6,CXCR4/L1CAM/SEMA5B/RGMA/MET/EFNA1/EPHB1/SRGAP1/EFNB3/ABLIM3/PIK3R3/LRRC4/PLXNB1/PLXNA2/NTN1/EFNB1/SLIT3/EPHB3/SHH/NGEF/BOC/EPHA4/EPHA2/SEMA6B/PLXNB3/EFNA5/NTNG2/NRP1/SEMA7A/SEMA3A/SMO/SEMA6C/PAK3/SRGAP3/CFL2/ABLIM1/ROBO2/SSH3/EPHA7/RAC2/SLIT2/MYL5/SEMA6A/SEMA6D/NTN4/NTN3/NTNG1/ABLIM2/PTCH1,49
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,16/1153,36/9392,0.4444444444444444,3.6203141563072174,5.892408257430362,1.5868614659696878e-6,1.3766023217287043e-4,1.1149789774050175e-4,MCM3/MCM4/MCM6/MCM2/FEN1/PCNA/RFC3/PRIM2/POLD3/RFC4/MCM5/RFC5/POLE2/PRIM1/POLD1/DNA2,16
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,55/1153,254/9392,0.21653543307086615,1.7638341607992845,4.6166152440578765,1.4536745950147142e-5,0.0010088501689402118,8.171181407766919e-4,CXCR4/NOS2/ADRA1B/P2RX7/PDGFRB/PLCD3/MET/ADCY1/PDGFA/PHKG1/CALM1/CACNA1G/MYLK/ADCY3/PLCD4/HRH2/ITPR3/MST1/PHKA2/PDGFB/FGF21/FGFR2/MCU/ADRA1D/TGFA/PLCD1/EDNRB/CHRM1/ITPKC/FGF1/ITPKA/PTK2B/GNA14/ADCY7/CAMK1G/GRIN2D/SLN/ATP2B1/NTRK2/CALML6/P2RX6/CASQ1/GRIN2B/FGFR3/CACNA1E/RET/SLC8A1/SPHK1/GDNF/PRKCG/CASQ2/GRIN2C/FGF18/ADCY2/HTR6,55
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,22/1153,75/9392,0.29333333333333333,2.389407343162764,4.519136884335507,6.126958309069269e-5,0.0035434242220783937,0.0028699962605640257,ATP1B2/HSP90B1/GPX3/ATP1A2/ADCY1/TG/ADCY3/ATP1A1/ADCY5/ITPR3/TTF2/PAX8/ADCY7/ALB/ATP1B4/DUOX2/CREB3L4/CREB3L1/PRKCG/ADCY2/CREB5/FXYD2,22
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,23/1153,86/9392,0.26744186046511625,2.17850299521975,4.1070663091694675,1.9892001184982125e-4,0.008339115014590193,0.006754265763372003,ATP1B2/SLC2A1/ATP1A2/ADCY1/KCNN4/ADCY3/KCNMA1/ATP1A1/ADCY5/ITPR3/ABCC8/KCNJ11/ADCY7/ATP1B4/CCK/KCNMB2/KCNMB4/CREB3L4/CREB3L1/PRKCG/ADCY2/CREB5/FXYD2,23
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,26/1153,103/9392,0.2524271844660194,2.0561978460579833,4.031927654424931,2.1839685902361162e-4,0.008339115014590193,0.006754265763372003,ATP1B2/ATP1A2/SLC1A1/KCNN4/COL8A1/COL20A1/SLC1A5/COL3A1/ATP1A1/DPP4/COL1A1/COL1A2/COL16A1/SLC16A10/COL9A1/CPB1/ELN/ATP1B4/SLC7A7/COL26A1/COL21A1/SLC8A1/COL28A1/MME/COL23A1/FXYD2,26
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,21/1153,76/9392,0.27631578947368424,2.2507874195462643,4.095518416160036,2.2755124020706953e-4,0.008339115014590193,0.006754265763372003,ATP1B2/ATP1A2/ADCY1/CALM1/MYLK/ADCY3/KCNK10/ATP1A1/ADCY5/HRH2/ITPR3/KCNJ10/ADCY7/KCNJ2/SSTR2/ATP1B4/KCNK2/CALML6/PRKCG/KCNJ16/ADCY2,21
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,25/1153,98/9392,0.25510204081632654,2.0779864417579694,4.012899884105587,2.4032031742334846e-4,0.008339115014590193,0.006754265763372003,ATP1B2/AGT/ATP1A2/ADCY1/CALM1/CACNA1G/LDLR/ADCY3/ATP1A1/ADCY5/ITPR3/LIPE/KCNK3/CYP21A2/ADCY7/CAMK1G/ATP1B4/ATP2B1/CALML6/CREB3L4/CREB3L1/PRKCG/ADCY2/POMC/CREB5,25
Cellular Processes,Cell motility,hsa04814,Motor proteins,41/1153,194/9392,0.211340206185567,1.7215153655636126,3.798683139964923,3.0072367989169603e-4,0.009155140022221649,0.007415205174983104,TPM4/KIF20B/KIFC1/TPM3/KIF18B/KIF2C/CENPE/KIF26B/KIF4A/MYH9/TUBB/KIF20A/TUBB6/KIF15/KIF23/MYO15B/MYH15/DYNLT5/DYNLT3/KIF14/KIF11/MYH11/KIF18A/KIF4B/ACTG2/MYH7/DNAI4/TUBG1/MYH7B/MYH3/MYL5/TUBB4B/DNAI1/MYO1F/TNNT3/MYO1A/KIF26A/DYNLRB2/DYNLT4/ACTA2/DNAH17,41
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,67/1153,362/9392,0.1850828729281768,1.507630826141749,3.684611638634243,3.16604265898155e-4,0.009155140022221649,0.007415205174983104,ITGA5/ITGA3/HSP90B1/MYC/ITGB4/CDK2/SGK1/PDGFRB/LAMB3/MET/EFNA1/PDGFA/PIK3R3/SPP1/TNN/CCNE2/CSF1R/PIK3AP1/CCND1/ITGA1/GNG4/MYB/PPP2R2B/IL6R/COL1A1/EPHA2/COL1A2/KITLG/ITGA9/PDGFB/LPAR4/CDKN1A/FGF21/FGFR2/EFNA5/LAMA5/TGFA/THBS4/COL9A1/CHAD/CHRM1/THBS2/FGF1/BRCA1/EPOR/GHR/PCK2/NRTN/TNC/ITGA6/EPO/NTRK2/MAGI1/CREB3L4/CREB3L1/AKT3/FGFR3/RET/PPP2R3A/PRKAA2/GDNF/FGF18/TNR/EIF4EBP1/LPAR2/CREB5/KIT,67
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,35/1153,160/9392,0.21875,1.7818733738074588,3.7314861987258263,4.1446974106658076e-4,0.011063153857700271,0.008960600879739032,SDC3/SDC1/PECAM1/L1CAM/LRRC4B/NLGN3/CD34/CLDN4/CDH15/NRXN2/LRRC4/CXADR/ICOSLG/LOC102723996/CDH4/ITGA9/NTNG2/MADCAM1/SLITRK1/SLITRK3/HLA-DRB1/HLA-DRA/CLDN11/CDH1/SIGLEC1/SLITRK4/NCAM1/ITGA6/CLDN1/F11R/NTNG1/HLA-DRB5/NRCAM/CADM1/CLDN5,35
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,20/1153,75/9392,0.26666666666666666,2.1721884937843305,3.8126185842634452,5.292397711970229e-4,0.012319616373813473,0.00997827262796359,SERPINE1/RRM2/CDK1/PMAIP1/CDK2/CCNB2/CCNB1/GADD45A/GTSE1/IGFBP3/PERP/CCNE2/CCND1/CDKN1A/FAS/CHEK1/TP53I3/SESN3/ADGRB1/BBC3,20
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,16/1153,54/9392,0.2962962962962963,2.4135427708714787,3.8968368324161795,5.325482582340118e-4,0.012319616373813473,0.00997827262796359,RMI2/RAD51/EME1/FANCD2/POLH/UBE2T/FANCI/FANCA/BLM/BRCA2/BRCA1/FANCB/FAAP100/FANCM/RMI1/BRIP1,16
