ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0050919,negative chemotaxis,11/237,46/18860,0.2391304347826087,19.029535864978904,13.811205091415834,8.861576442547238e-12,2.7869657911811063e-8,2.3152034453054996e-8,ROBO2/ROBO1/SLIT2/SLIT3/SEMA7A/LGR6/PLXNA4/DPP4/FLRT3/NRG1/SEMA6D,11
BP,GO:0007409,axonogenesis,23/237,472/18860,0.048728813559322036,3.8777444039190447,7.142736869035034,3.248011542612418e-8,5.1074981507580275e-5,4.2429287625073806e-5,THY1/NEFL/KIAA1755/ROBO2/ROBO1/CDH11/SLIT2/SLIT3/SEMA7A/LGR6/PRICKLE1/SLITRK2/NTN4/BMP7/SLITRK4/VANGL2/PLXNA4/ADGRB1/UNC5D/FLRT3/SEMA6D/EDN3/SHH,23
BP,GO:0007411,axon guidance,16/237,243/18860,0.06584362139917696,5.239707593200327,7.504000839970038,7.943044494599629e-8,6.609623777190855e-5,5.4907827679650926e-5,KIAA1755/ROBO2/ROBO1/SLIT2/SLIT3/SEMA7A/LGR6/NTN4/BMP7/VANGL2/PLXNA4/UNC5D/FLRT3/SEMA6D/EDN3/SHH,16
BP,GO:0097485,neuron projection guidance,16/237,244/18860,0.06557377049180328,5.218233381752785,7.481540200854069,8.406516727746715e-8,6.609623777190855e-5,5.4907827679650926e-5,KIAA1755/ROBO2/ROBO1/SLIT2/SLIT3/SEMA7A/LGR6/NTN4/BMP7/VANGL2/PLXNA4/UNC5D/FLRT3/SEMA6D/EDN3/SHH,16
BP,GO:0003206,cardiac chamber morphogenesis,12/237,134/18860,0.08955223880597014,7.126393349707159,8.028667065211138,1.2804164899790447e-7,8.05381972196819e-5,6.690513111848399e-5,ROBO2/ROBO1/SLIT2/SLIT3/BMP7/APLNR/FOXF1/VANGL2/NPY2R/SOX11/COL11A1/NRG1,12
BP,GO:0040013,negative regulation of locomotion,20/237,424/18860,0.04716981132075472,3.7536820316853756,6.4695198679707175,4.4691453729993703e-7,2.3425770330138363e-4,1.946038388734112e-4,IGFBP5/THY1/BST2/ROBO2/ROBO1/CDH11/IFITM1/SLIT2/TMEFF2/APOD/SERPINF1/ADGRB1/DPP4/PTGER4/CD74/DSG3/SRGAP3/SEMA6D/ATP1B2/SHH,20
BP,GO:0030336,negative regulation of cell migration,19/237,391/18860,0.04859335038363171,3.866964507321916,6.4624572938440785,5.604102120102144e-7,2.5178430239601775e-4,2.0916363100892515e-4,IGFBP5/THY1/BST2/ROBO1/CDH11/IFITM1/SLIT2/TMEFF2/APOD/SERPINF1/ADGRB1/DPP4/PTGER4/CD74/DSG3/SRGAP3/SEMA6D/ATP1B2/SHH,19
BP,GO:0003231,cardiac ventricle development,11/237,133/18860,0.08270676691729323,6.5816439833761615,7.287230874605222,9.606940338095717e-7,3.4461267695729767e-4,2.862785253813113e-4,ROBO2/ROBO1/SLIT2/SLIT3/APLNR/FOXF1/VANGL2/NPY2R/SOX11/COL11A1/NRG1,11
BP,GO:2000146,negative regulation of cell motility,19/237,406/18860,0.046798029556650245,3.7240963604996775,6.259633501951493,9.861730024215195e-7,3.4461267695729767e-4,2.862785253813113e-4,IGFBP5/THY1/BST2/ROBO1/CDH11/IFITM1/SLIT2/TMEFF2/APOD/SERPINF1/ADGRB1/DPP4/PTGER4/CD74/DSG3/SRGAP3/SEMA6D/ATP1B2/SHH,19
BP,GO:0072001,renal system development,17/237,334/18860,0.05089820359281437,4.05038025215392,6.3451963519733265,1.1970842543979856e-6,3.764829980081665e-4,3.127540125700843e-4,ROBO2/CD24/SLIT2/TFAP2A/PRICKLE1/BMP7/FOXF1/PCSK9/VANGL2/SERPINF1/SOX11/MMP9/PCSK5/PBX1/GPR4/SHH/GPC3,17
