ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007409,axonogenesis,20/169,455/18888,4.833689592640348e-9,1.195854805219222e-5,1.006425054130801e-5,THY1/NEFL/ROBO1/KIAA1755/ROBO2/CDH11/SLIT2/SLITRK2/SLIT3/SEMA7A/SLITRK4/BMP7/LGR6/PRICKLE1/PLXNA4/CXCL12/NTN4/PTPRM/VANGL2/ADGRB1,20
BP,GO:0050919,negative chemotaxis,7/169,47/18888,1.8862125808954328e-7,1.1962263627032514e-4,1.0067377549364046e-4,ROBO1/ROBO2/SLIT2/SLIT3/SEMA7A/LGR6/PLXNA4,7
BP,GO:0007411,axon guidance,13/169,234/18888,1.9340765767231227e-7,1.1962263627032514e-4,1.0067377549364046e-4,ROBO1/KIAA1755/ROBO2/SLIT2/SLIT3/SEMA7A/BMP7/LGR6/PLXNA4/CXCL12/NTN4/PTPRM/VANGL2,13
BP,GO:0097485,neuron projection guidance,13/169,234/18888,1.9340765767231227e-7,1.1962263627032514e-4,1.0067377549364046e-4,ROBO1/KIAA1755/ROBO2/SLIT2/SLIT3/SEMA7A/BMP7/LGR6/PLXNA4/CXCL12/NTN4/PTPRM/VANGL2,13
BP,GO:0040013,negative regulation of locomotion,17/169,431/18888,3.444700807768791e-7,1.704437959683998e-4,1.4344459363719306e-4,IGFBP5/BST2/THY1/ROBO1/ROBO2/APOD/CDH11/IFITM1/SLIT2/TMEFF2/SEMA7A/SRGAP3/PTGER4/CXCL12/ATP1B2/PTPRM/ADGRB1,17
BP,GO:0051960,regulation of nervous system development,17/169,468/18888,1.0776535808195048e-6,4.4435249315790917e-4,3.7396469874754053e-4,SERPINE2/THY1/NEFL/ROBO1/ROBO2/THBS2/SLIT2/SLITRK2/SEMA7A/SLITRK4/BMP7/JAM2/PLXNA4/CXCL12/LEF1/SOX11/ADGRB1,17
BP,GO:1902742,apoptotic process involved in development,6/169,40/18888,1.4004361840292819e-6,4.94954159898349e-4,4.165507927834466e-4,ROBO2/MEGF10/SLIT2/SLIT3/BMP7/LEF1,6
BP,GO:0030336,negative regulation of cell migration,15/169,381/18888,1.786573317537358e-6,5.462649618003617e-4,4.597336912058527e-4,IGFBP5/BST2/THY1/ROBO1/APOD/CDH11/IFITM1/SLIT2/TMEFF2/SRGAP3/PTGER4/CXCL12/ATP1B2/PTPRM/ADGRB1,15
BP,GO:0060412,ventricular septum morphogenesis,6/169,43/18888,2.175478810303799e-6,5.462649618003617e-4,4.597336912058527e-4,ROBO1/ROBO2/SLIT2/SLIT3/APLNR/SOX11,6
BP,GO:0051962,positive regulation of nervous system development,13/169,294/18888,2.539571294355174e-6,5.462649618003617e-4,4.597336912058527e-4,SERPINE2/NEFL/ROBO1/ROBO2/THBS2/SLIT2/SLITRK2/SEMA7A/SLITRK4/PLXNA4/CXCL12/SOX11/ADGRB1,13
BP,GO:0001503,ossification,16/169,446/18888,2.665684872478946e-6,5.462649618003617e-4,4.597336912058527e-4,IGFBP5/CDH11/IFITM1/TFAP2A/SEMA7A/BMP7/PRICKLE1/BAMBI/PTGER4/SNX10/PBX1/LEF1/SOX11/MGP/GDPD2/CHRDL1,16
