Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MTOP1-BT241-DMSO_S1_L001_R1_001	MTOP1-BT241-DMSO_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15846107.0	0.0	51.0	50.0	49.377839760310124	51.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
MTOP1-BT241-DMSO_S1_L001_R2_001	MTOP1-BT241-DMSO_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15846107.0	0.0	51.0	51.0	48.99938764400357	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
MTOP10-BT-972-HTT-2-1_S10_L001_R1_001	MTOP10-BT-972-HTT-2-1_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15561751.0	0.0	51.0	49.0	52.375021738719816	51.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
MTOP10-BT-972-HTT-2-1_S10_L001_R2_001	MTOP10-BT-972-HTT-2-1_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15561751.0	0.0	51.0	50.0	52.38124308675272	51.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
MTOP11-BT-972-HTT-2-1_S11_L001_R1_001	MTOP11-BT-972-HTT-2-1_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15690647.0	0.0	51.0	50.0	51.55371146473187	51.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
MTOP11-BT-972-HTT-2-1_S11_L001_R2_001	MTOP11-BT-972-HTT-2-1_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15690647.0	0.0	51.0	51.0	51.45688487970368	51.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
MTOP12-BT-972-HTT-2-1_S12_L001_R1_001	MTOP12-BT-972-HTT-2-1_S12_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14802651.0	0.0	51.0	49.0	52.933352868476646	51.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
MTOP12-BT-972-HTT-2-1_S12_L001_R2_001	MTOP12-BT-972-HTT-2-1_S12_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14802651.0	0.0	51.0	50.0	53.11928340434777	51.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
MTOP13-BT-241-AAVS1_S13_L001_R1_001	MTOP13-BT-241-AAVS1_S13_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14344406.0	0.0	51.0	50.0	49.335650356921484	51.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
MTOP13-BT-241-AAVS1_S13_L001_R2_001	MTOP13-BT-241-AAVS1_S13_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14344406.0	0.0	51.0	51.0	49.1612263448545	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
MTOP14-BT-241-AAVS1_S14_L001_R1_001	MTOP14-BT-241-AAVS1_S14_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16089307.0	0.0	51.0	50.0	47.10442789513796	51.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
MTOP14-BT-241-AAVS1_S14_L001_R2_001	MTOP14-BT-241-AAVS1_S14_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16089307.0	0.0	51.0	51.0	46.96324176934796	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
MTOP15-BT-241-AAVS1_S15_L001_R1_001	MTOP15-BT-241-AAVS1_S15_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15635108.0	0.0	51.0	51.0	47.680566287241696	51.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
MTOP15-BT-241-AAVS1_S15_L001_R2_001	MTOP15-BT-241-AAVS1_S15_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15635108.0	0.0	51.0	52.0	46.74380281507809	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
MTOP16-BT-241-HTT-4-1_S16_L001_R1_001	MTOP16-BT-241-HTT-4-1_S16_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18587106.0	0.0	51.0	50.0	45.66073348160338	51.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
MTOP16-BT-241-HTT-4-1_S16_L001_R2_001	MTOP16-BT-241-HTT-4-1_S16_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18587106.0	0.0	51.0	51.0	45.28468466328851	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
MTOP17-BT-241-HTT-4-1_S17_L001_R1_001	MTOP17-BT-241-HTT-4-1_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15606932.0	0.0	51.0	50.0	47.55087645933203	51.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
