Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MTOP1-BT241-DMSO_S1_L001_R1_001	50.622160239689876	50.0	51.0	18.181818181818183	15846107.0
MTOP1-BT241-DMSO_S1_L001_R2_001	51.00061235599643	51.0	51.0	9.090909090909092	15846107.0
MTOP10-BT-972-HTT-2-1_S10_L001_R1_001	47.624978261280184	49.0	51.0	9.090909090909092	15561751.0
MTOP10-BT-972-HTT-2-1_S10_L001_R2_001	47.61875691324728	50.0	51.0	0.0	15561751.0
MTOP11-BT-972-HTT-2-1_S11_L001_R1_001	48.44628853526813	50.0	51.0	9.090909090909092	15690647.0
MTOP11-BT-972-HTT-2-1_S11_L001_R2_001	48.54311512029632	51.0	51.0	0.0	15690647.0
MTOP12-BT-972-HTT-2-1_S12_L001_R1_001	47.066647131523354	49.0	51.0	9.090909090909092	14802651.0
MTOP12-BT-972-HTT-2-1_S12_L001_R2_001	46.88071659565223	50.0	51.0	0.0	14802651.0
MTOP13-BT-241-AAVS1_S13_L001_R1_001	50.664349643078516	50.0	51.0	18.181818181818183	14344406.0
MTOP13-BT-241-AAVS1_S13_L001_R2_001	50.8387736551455	51.0	51.0	9.090909090909092	14344406.0
MTOP14-BT-241-AAVS1_S14_L001_R1_001	52.89557210486204	50.0	51.0	18.181818181818183	16089307.0
MTOP14-BT-241-AAVS1_S14_L001_R2_001	53.03675823065204	51.0	51.0	9.090909090909092	16089307.0
MTOP15-BT-241-AAVS1_S15_L001_R1_001	52.319433712758304	51.0	51.0	18.181818181818183	15635108.0
MTOP15-BT-241-AAVS1_S15_L001_R2_001	53.25619718492191	52.0	51.0	9.090909090909092	15635108.0
MTOP16-BT-241-HTT-4-1_S16_L001_R1_001	54.33926651839662	50.0	51.0	18.181818181818183	18587106.0
MTOP16-BT-241-HTT-4-1_S16_L001_R2_001	54.71531533671149	51.0	51.0	9.090909090909092	18587106.0
MTOP17-BT-241-HTT-4-1_S17_L001_R1_001	52.44912354066797	50.0	51.0	18.181818181818183	15606932.0
MTOP17-BT-241-HTT-4-1_S17_L001_R2_001	52.137958498856165	51.0	51.0	9.090909090909092	15606932.0
MTOP18-BT-241-HTT-4-1_S18_L001_R1_001	51.42299284708957	50.0	51.0	18.181818181818183	14904235.0
MTOP18-BT-241-HTT-4-1_S18_L001_R2_001	51.44791830674645	51.0	51.0	9.090909090909092	14904235.0
MTOP19-BT-935-AAVS1_S19_L001_R1_001	48.350574849332475	50.0	51.0	9.090909090909092	16184777.0
MTOP19-BT-935-AAVS1_S19_L001_R2_001	47.67102758240377	51.0	51.0	0.0	16184777.0
MTOP2-BT241-DMSO_S2_L001_R1_001	52.57957513772525	50.0	51.0	18.181818181818183	14509029.0
MTOP2-BT241-DMSO_S2_L001_R2_001	53.374067131667665	52.0	51.0	9.090909090909092	14509029.0
MTOP20-BT-935-AAVS1_S20_L001_R1_001	46.76144114871468	51.0	51.0	9.090909090909092	14573034.0
MTOP20-BT-935-AAVS1_S20_L001_R2_001	46.78021309286075	51.0	51.0	0.0	14573034.0
MTOP21-BT-935-AAVS1_S21_L001_R1_001	48.43047266673183	50.0	51.0	9.090909090909092	15181915.0
MTOP21-BT-935-AAVS1_S21_L001_R2_001	47.94867776354348	51.0	51.0	0.0	15181915.0
MTOP22-BT-935-HTT-4-1_S22_L001_R1_001	51.14415087247344	51.0	51.0	18.181818181818183	17735699.0
MTOP22-BT-935-HTT-4-1_S22_L001_R2_001	50.88051028448749	51.0	51.0	9.090909090909092	17735699.0
MTOP23-BT-935-HTT-4-1_S23_L001_R1_001	49.806608127225246	50.0	51.0	9.090909090909092	17675419.0
MTOP23-BT-935-HTT-4-1_S23_L001_R2_001	49.118913041452764	51.0	51.0	0.0	17675419.0
MTOP24-BT-935-HTT-4-1_S24_L001_R1_001	49.72888153629377	50.0	51.0	9.090909090909092	17706714.0
MTOP24-BT-935-HTT-4-1_S24_L001_R2_001	49.248126755959056	51.0	51.0	0.0	17706714.0
MTOP3-BT241-DMSO_S3_L001_R1_001	46.890850765537905	51.0	51.0	9.090909090909092	12642296.0
MTOP3-BT241-DMSO_S3_L001_R2_001	48.53235699390635	51.0	51.0	0.0	12642296.0
MTOP4-BT-241-Bramaplam_S4_L001_R1_001	46.34622434541444	50.0	51.0	9.090909090909092	11529053.0
MTOP4-BT-241-Bramaplam_S4_L001_R2_001	46.47754609005097	51.0	51.0	0.0	11529053.0
MTOP5-BT-241-Bramaplam_S5_L001_R1_001	46.71074451663295	50.0	51.0	9.090909090909092	12033060.0
MTOP5-BT-241-Bramaplam_S5_L001_R2_001	46.618487399882454	51.0	51.0	0.0	12033060.0
MTOP6-BT-241-Bramaplam_S6_L001_R1_001	49.34503227038566	50.0	51.0	9.090909090909092	13955973.0
MTOP6-BT-241-Bramaplam_S6_L001_R2_001	49.16168099955045	51.0	51.0	0.0	13955973.0
MTOP7-BT-972-AAVS1_S7_L001_R1_001	50.12569557176721	51.0	51.0	18.181818181818183	13850560.0
MTOP7-BT-972-AAVS1_S7_L001_R2_001	50.464165582447094	51.0	51.0	9.090909090909092	13850560.0
